From	Protein names	Gene Names	Subcellular location	Transmembrane
Q9SJT9	Coatomer subunit alpha-2 (Alpha-coat protein 2) (Alpha-COP 2)	At2g21390 F3K23.15	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.	
F4IIM1	Protein CELLULOSE SYNTHASE INTERACTIVE 1 (Protein POM-POM 2)	CSI1 POM2 At2g22125 T16B14.2	Cell membrane; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus. Endomembrane system. Cytoplasm, cytoskeleton. Undergoes dynamic changes in response to dehydration (PubMed:22427339). Colocalizes with cellulase synthase (CESA) complexes (CSCs) in a dynamic way, both at the plasma membrane and in post-Golgi compartments (PubMed:24368796, PubMed:20616083, PubMed:22294619, PubMed:22190487). Present in distinct punctae at the cell cortex, called microtubule-associated cellulose synthase compartments, that move with constant velocities of 200 to 300 nm/min (PubMed:22294619). Present with cortical microtubule depolymerizing ends (PubMed:22294619, PubMed:22190487).	
F4KHD5	A-kinase anchor-like protein	MPO12.160 MPO12_160 At5g40450 AT5G40450	Nucleus	
F4IVL6	DnaJ homolog subfamily C GRV2 (Protein GRAVITROPISM DEFECTIVE 2) (Protein GREEN FLUORESCENT SEED 2) (Protein KATAMARI2)	GRV2 GFS2 KAM2 At2g26890 F12C20.7	Endosome membrane; Peripheral membrane protein.	
O23654	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar H(+)-ATPase subunit A) (Vacuolar proton pump subunit alpha)	VHA-A At1g78900 F9K20.5	Vacuole membrane; Peripheral membrane protein.	
Q94A40	Coatomer subunit alpha-1 (Alpha-coat protein 1) (Alpha-COP 1)	At1g62020 F8K4.21	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.	
Q9SE83	Dynamin-2A (EC 3.6.5.5) (Dynamin-like protein 6) (Dynamin-related protein 2A)	DRP2A ADL6 At1g10290 F14N23.17	Cytoplasm, cytosol. Golgi apparatus membrane; Peripheral membrane protein. Cytoplasm, cytoskeleton, phragmoplast. Cytoplasmic vesicle, clathrin-coated vesicle. Localized in the forming cell plate during cytokinesis.	
Q9LQ55	Dynamin-2B (EC 3.6.5.5) (Dynamin-like protein 3) (Dynamin-related protein 2B)	DRP2B ADL3 CF1 At1g59610 T30E16.17	Cytoplasm, cytoskeleton. Cytoplasmic vesicle, clathrin-coated vesicle. Cell membrane. Accumulates in a sterol-enriched, polar membrane domain during root hair initiation.	
A0A1I9LP28	ARM repeat superfamily protein	At3g06530 AT3G06530 F5E6.14 F5E6_14	Nucleus, nucleolus.	
F4J0P2	Transducin/WD40 repeat-like superfamily protein	AT3G50600 At3g50590 AT3G50590	Unknown	"TRANSMEM 680..700; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 738..758; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q7PC86	ABC transporter G family member 35 (ABC transporter ABCG.35) (AtABCG35) (Pleiotropic drug resistance protein 7)	ABCG35 PDR7 At1g15210 F9L1.15	Membrane; Multi-pass membrane protein.	"TRANSMEM 538..558; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 573..593; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 619..639; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 657..677; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 683..703; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 714..734; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 769..789; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1186..1206; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1218..1238; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1272..1292; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1299..1319; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1329..1349; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1357..1377; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1414..1434; /note=""Helical""; /evidence=""ECO:0000255"""
P35527	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	Unknown	
Q9LD55	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 large subunit) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (p114)	TIF3A1 At4g11420 F25E4.40	Cytoplasm.	
Q9SR37	Beta-glucosidase 23 (AtBGLU23) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.1)	BGLU23 PSR3.1 PYK10 At3g09260 F3L24.13	Endoplasmic reticulum lumen. Located in ER bodies.	
Q9SIV2	26S proteasome non-ATPase regulatory subunit 2 homolog A (26S proteasome regulatory subunit RPN1a) (AtRPN1a) (26S proteasome regulatory subunit S2 homolog A)	RPN1A At2g20580 F23N11.10	Nucleus. Cytoplasm.	
P83483	ATP synthase subunit beta-1, mitochondrial (EC 7.1.2.2)	At5g08670 T2K12.11	Mitochondrion. Mitochondrion inner membrane. Peripheral membrane protein.	
Q9C5A9	ATP synthase subunit beta-3, mitochondrial (EC 7.1.2.2)	At5g08680 T2K12.16	Mitochondrion. Mitochondrion inner membrane. Peripheral membrane protein.	
P04264	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Cell membrane. Cytoplasm.	
F4JNE2	Pleckstrin homology (PH) domain-containing protein	DL4605C At4g17140 AT4G17140 FCAALL.362	Cell_membrane	
F4KIH8	Transducin/WD40 repeat-like superfamily protein	MXC17.10 MXC17_10 At5g24710 AT5G24710	Unknown	
Q9FLH2	oxoglutarate dehydrogenase (succinyl-transferring) (EC 1.2.4.2)	MPA24.10 MPA24_10 AT5G65750	Unknown	
F4IXW2	Brefeldin A-inhibited guanine nucleotide-exchange protein 5 (BIG5) (ARF guanine-nucleotide exchange factor BIG5) (Protein BFA-VISUALIZED ENDOCYTIC TRAFFICKING DEFECTIVE 1) (Protein BEN1) (Protein HOPM INTERACTOR 7) (AtMIN7)	BIG5 BEN1 MIN7 At3g43300 F7K15_150	Cytoplasm, cytosol. Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein; Cytoplasmic side. Early endosome membrane; Peripheral membrane protein; Cytoplasmic side. Soluble and partially membrane-bound.	
F4JLM5	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	At4g10320 F24G24.120 T9A4.4	Cytoplasm, cytosol.	
Q8L5Y4	P-loop containing nucleoside triphosphate hydrolases superfamily protein (Uncharacterized protein At2g38770)	EMB2765 EMBRYO DEFECTIVE 2765 At2g38770 AT2G38770 T6A23.3 T6A23_3	Nucleus.	
Q9LD43	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha, chloroplastic (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	CAC3 At2g38040 T8P21.5	Plastid, chloroplast inner membrane; Peripheral membrane protein; Stromal side.	
Q38970	Acetyl-CoA carboxylase 1 (AtACC1) (EC 6.4.1.2) (Protein EMBRYO DEFECTIVE 22) (Protein GURKE) (Protein PASTICCINO 3) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC1 EMB22 GK PAS3 At1g36160 F15C21.1	Cytoplasm, cytosol.	
F4K5J1	Myosin-17 (Myosin XI K) (AtXIK)	XI-K XIK At5g20490 F7C8.80	Cytoplasm. Colocalizes with peroxisome, cytoplasmic vesicles, endomembrane vesicles, endoplasmic reticulum and/or organelles.	
P42697	Phragmoplastin DRP1A (EC 3.6.5.-) (Dynamin-like protein 1) (Dynamin-like protein 1A) (Dynamin-related protein 1A) (AtDRP1A) (Protein RADIAL SWELLING 9)	DRP1A ADL1 ADL1A AG68 RSW9 At5g42080 MJC20.19	Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, phragmoplast. Cytoplasm, cell cortex. Cytoplasmic vesicle, clathrin-coated vesicle. Cell membrane. Microtubule-associated and localized in the forming cell plate, at the vicinity of sterols, during cytokinesis, especially at the leading edges (PubMed:14750520, PubMed:28584166, PubMed:18612642, PubMed:25234576). Accumulates in a sterol-enriched, polar membrane domain during root hair initiation (PubMed:27251533). Forms discreet dynamic foci in the epidermal cell cortex, which colocalize with part of the clathrin endocytic machinery (PubMed:18344418). Co-localizes with BOR1 in the cell plate and the plasma membrane (PubMed:27449211).	
Q8LF21	Phragmoplastin DRP1C (EC 3.6.5.-) (Dynamin-like protein 1C) (Dynamin-like protein 5) (Dynamin-like protein DLP1) (Dynamin-related protein 1C) (AtDRP1C)	DRP1C ADL1C ADL5 DLP1 At1g14830 F10B6.23	Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Cytoplasmic vesicle, clathrin-coated vesicle. Cytoplasm, cytoskeleton, phragmoplast. Microtubule-associated and localized in the forming cell plate during cytokinesis (PubMed:14750520). Forms dynamic foci in the cell cortex, which colocalize with part of the clathrin endocytic machinery (PubMed:18344418).	
Q9M0Y8	Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (Vesicular-fusion protein NSF)	NSF At4g04910 T1J1.4	Cytoplasm.	
Q9C8Y9	Beta-glucosidase 22 (AtBGLU22) (EC 3.2.1.21)	BGLU22 At1g66280 T27F4.3	Endoplasmic reticulum lumen.	
Q9C525	Beta-glucosidase 21 (AtBGLU21) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.2)	BGLU21 PSR3.2 At1g66270 T27F4.2 T6J19.2	Endoplasmic reticulum lumen.	
Q9LV03	Glutamate synthase 1 [NADH], chloroplastic (EC 1.4.1.14) (NADH-dependent glutamate synthase 1) (NADH-GOGAT 1)	GLT1 At5g53460 MYN8.7	Plastid, chloroplast.	
Q8LPK4	AP-2 complex subunit alpha-2 (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin 2) (Clathrin assembly protein complex 2 alpha-C large chain) (At-aC-Ad) (At-alphaC-Ad)	ALPHAC-AD At5g22780 K5A21.2	Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Component of the coat surrounding the cytoplasmic face of coated vesicles in the plasma membrane.	
Q8LPL6	AP-2 complex subunit alpha-1 (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin 1) (Clathrin assembly protein complex 2 alpha large chain 1) (At-a-Ad) (At-alpha-Ad)	ALPHA-ADR At5g22770 MDJ22.19	Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Component of the coat surrounding the cytoplasmic face of coated vesicles in the plasma membrane.	
A0A1I9LSH2	Carbohydrate-binding-like fold	At3g62360 AT3G62360	Extracellular	"TRANSMEM 1140..1159; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
O50008	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 (EC 2.1.1.14) (Cobalamin-independent methionine synthase 1) (AtMS1) (Vitamin-B12-independent methionine synthase 1)	MS1 CIMS At5g17920 MPI7.9	Cytoplasm, cytosol.	
Q9ASR1	Elongation factor 2 (EF-2) (Protein LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1)	LOS1 At1g56070/At1g56075 T6H22.13	Cytoplasm.	
Q9LNC5	110 kDa U5 small nuclear ribonucleoprotein component CLO (Protein CLOTHO) (Protein GAMETOPHYTE FACTOR 1) (Protein MATERNAL EFFECT EMBRYO ARREST 5) (Protein VAJRA-1) (SNU114 homolog)	CLO GFA1 MEE5 VAJ-1 At1g06220 F9P14.8	Nucleus speckle. Colocalizes with CLO (PubMed:18702672). Colocalizes with SC35 (PubMed:19168457).	
P13645	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	KRT10 KPP	Secreted, extracellular space. Cell surface. Cytoplasm.	
F4J8K6	rRNA biogenesis protein RRP5 (AtRrp5) (Ribosomal RNA-processing protein 5)	RRP5 At3g11964 F26K24.26 T21B14.19	Nucleus, nucleolus.	
P17094	60S ribosomal protein L3-1 (Protein EMBRYO DEFECTIVE 2207)	ARP1 EMB2207 RPL3A At1g43170 F1I21.1	Cytoplasm.	
A0A1P8AMQ1	Calcium-dependent lipid-binding family protein	At1g48090 AT1G48090	Unknown	
F4J5R9	Clustered mitochondria protein homolog	NOXY38 FMT FRIENDLY FRIENDLY MITOCHONDRIA non responding to oxylipins 38 At3g52140 AT3G52140	Cytoplasm.	
P51818	Heat shock protein 90-3 (AtHSP90.3) (AtHsp90-3) (HSP81.2) (Heat shock protein 81-3) (Hsp81-3) (Protein MUTANT SNC1-ENHANCING 10)	HSP90-3 HSP81-3 HSP81.2 MUSE10 At5g56010 MDA7.5	Cytoplasm.	
Q9SGH6	Alpha-dioxygenase 1 (Alpha DOX1) (EC 1.13.11.92) (Fatty acid dioxygenase AlphaDOX1) (Pathogen-induced oxygenase) (Plant alpha dioxygenase 1)	DOX1 DIOX1 PADOX-1 PIOX At3g01420 T13O15.6	Lipid droplet. Localizes on the surface of leaf oil bodies.	
P55737	Heat shock protein 90-2 (AtHSP90.2) (AtHsp90-2) (Heat shock protein 81-2) (Hsp81-2) (Protein EARLY-RESPONSIVE TO DEHYDRATION 8) (Protein LOSS OF RECOGNITION OF AVRRPM1 2) (Protein MUTANT SNC1-ENHANCING 12)	HSP90-2 ERD8 HSP81-2 LRA2 MUSE12 At5g56030 MDA7.7	Cytoplasm.	
O48844	26S proteasome non-ATPase regulatory subunit 1 homolog A (26S proteasome regulatory subunit RPN2a) (AtRPN2a) (26S proteasome regulatory subunit S1 homolog A)	RPN2A At2g32730 F24L7.13	Chloroplast	
F4IPJ1	Phosphatidylinositol 3-and 4-kinase family protein with FAT domain-containing protein	At2g17930 AT2G17930 T13L16.5 T13L16_5	Nucleus	
Q8VZM1	N-terminal acetyltransferase A complex auxiliary subunit NAA15 (AtNAA15) (Protein OMISHA)	NAA15 EMB2753 MUSE6 OMA At1g80410 T21F11.26	Nucleus	
P35908	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Cytoplasm.	
O49160	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110) (p105)	TIF3C1 At3g56150 F18O21_110	Cytoplasm.	
P11574	V-type proton ATPase subunit B1 (V-ATPase subunit B1) (V-ATPase 57 kDa subunit) (Vacuolar H(+)-ATPase subunit B isoform 1) (Vacuolar proton pump subunit B1)	VHA-B1 AT57 At1g76030 T4O12.24	Vacuole membrane; Peripheral membrane protein.	
F4J8D3	Protein TPLATE	TPLATE T22 At3g01780 F28J7.11 F4P13.33	Cytoplasm, cytoskeleton, phragmoplast. Localized in the forming cell plate and the cortical division zone (CDZ) during cytokinesis.	
Q9SRT9	UDP-arabinopyranose mutase 1 (EC 5.4.99.30) (Reversibly glycosylated polypeptide 1) (AtRGP1) (UDP-L-arabinose mutase 1)	RGP1 At3g02230 F14P3.12	Cytoplasm, cytosol. Golgi apparatus. Soluble and associated with peripheral membrane and endomembrane system.	
Q56YN8	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Chromosome segregation protein SMC-3) (Cohesin complex subunit SMC-3) (Protein TITAN7)	SMC3 TTN7 At2g27170 T22O13.6	Nucleus. Cytoplasm. Nucleus matrix. Chromosome. Cytoplasm, cytoskeleton, spindle. Chromosome, centromere. Primarily associated with the nuclear matrix during interphase and with chromatin from prophase through anaphase in both somatic and meiotic cells. During mitosis and meiosis the protein also colocalized with the spindle from metaphase to telophase.	
Q9STX5	Endoplasmin homolog (Glucose-regulated protein 94 homolog) (GRP-94 homolog) (Heat shock protein 90-7) (AtHSP90.7) (AtHsp90-7) (Protein SHEPHERD)	HSP90-7 SHD At4g24190 T19F6.1 T22A6.20	Endoplasmic reticulum lumen.	
P22953	Heat shock 70 kDa protein 1 (Heat shock cognate 70 kDa protein 1) (Heat shock cognate protein 70-1) (AtHsc70-1) (Heat shock protein 70-1) (AtHsp70-1) (Protein EARLY-RESPONSIVE TO DEHYDRATION 2)	HSP70-1 ERD2 HSC70-1 MED37_4 MED37E At5g02500 T22P11.90	Cytoplasm, cytosol. Nucleus.	
O80725	ABC transporter B family member 4 (ABC transporter ABCB.4) (AtABCB4) (Multidrug resistance protein 4) (P-glycoprotein 4)	ABCB4 MDR4 PGP4 At2g47000 F14M4.17	Cell membrane; Multi-pass membrane protein. Non-polar distribution in apical cells. Apical (bottom) localization in mature root cells. Basal (top) localization in the root elongation zone.	"TRANSMEM 60..80; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 109..129; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 186..206; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 208..228; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 288..308; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 317..337; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 721..741; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 764..784; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 850..870; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 871..891; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 942..962; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 976..996; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441"""
Q6XJG8	26S proteasome non-ATPase regulatory subunit 2 homolog B (26S proteasome regulatory subunit RPN1b) (AtRPN1b) (26S proteasome regulatory subunit S2 homolog B)	RPN1B At4g28470 F20O9.150	Nucleus	
P54609	Cell division control protein 48 homolog A (AtCDC48a)	CDC48A CDC48 At3g09840 F8A24.11	Nucleus. Cytoplasm, cytoskeleton, phragmoplast. Cell membrane; Peripheral membrane protein. Primarily localized to the nucleus and, during cytokinesis, to the phragmoplast, a site where membrane vesicles are targeted in the deposition of new cell wall materials.	
Q9FNQ1	DExH-box ATP-dependent RNA helicase DExH14 (EC 3.6.4.13) (BRR2 homolog C) (AtBRR2C) (Pre-mRNA-splicing helicase BRR2C)	BRR2C At5g61140 MAF19.14	Nucleus.	
A0A1P8BF32	Heat shock protein 70 (Hsp 70) family protein	BIP2 BIP luminal binding protein MJC20.12 MJC20_12 At5g42020 AT5G42020	Chloroplast	
Q8W4E2	V-type proton ATPase subunit B3 (V-ATPase subunit B3) (Vacuolar H(+)-ATPase subunit B isoform 3) (Vacuolar proton pump subunit B3)	VHA-B3 At1g20260 F14O10.13	Vacuole membrane; Peripheral membrane protein.	
F4K0C4	Trafficking protein particle complex II-specific subunit 130 homolog (AtTRS130) (TRAPP II-specific subunit 130 homolog)	TRS130 CLUB At5g54440 F24B18.6	Golgi apparatus, trans-Golgi network. Early endosome.	
Q0WW26	Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)	At4g34450 T4L20.30	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.	
Q8H0T4	E3 ubiquitin-protein ligase UPL2 (Ubiquitin-protein ligase 2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL2)	UPL2 At1g70320 F17O7.14/F17O7.15	Nucleus	
Q8VZC7	Probable disease resistance protein At5g45510	At5g45510 MFC19.18	Nucleus	
O04310	Jacalin-related lectin 34	JAL34 At3g16460 T02O04.4	Nucleus	
