Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9CAD8	ath:AT1G63730; Q9CAD8	Disease resistance protein (TIR-NBS-LRR class) family OS=Arabidopsis thaliana OX=3702 GN=At1g63730 PE=4 SV=1	6.457	12	5	5	100	6.64	9.71282301316431E-17	1E-17	13580239.7909111	97513.0072242833	34.18	55.74	6897955.9572302	13706842.496582	13580239.7909111	147924.05617107	64281.5430028939		Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Not Found	High	High	Peak Found	6
Q3EDL4	ath:AT1G01540; O23699; Q3EDL4; Q94KD9; Q9LMM7	Probable serine/threonine-protein kinase At1g01540 OS=Arabidopsis thaliana OX=3702 GN=At1g01540 PE=1 SV=2	29.578	199	6	2	100	6.64	9.71282301316431E-17	1E-17	1619196.18765751		44.52		1407844.09138009	1619196.18765751	3069828.53689008				High	High	High	Peak Found	Peak Found	High	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	High	High	7
F4JXH8	F4JXH8	RNA binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At5g60170 PE=1 SV=1	8.576	20	2	2	100	6.64	9.71282301316431E-17	1E-17	224921.932100405		7.33			213552.119101484	236897.0898188				Not Found	High	High	Not Found	Peak Found	Not Found	High	Not Found	High	High	Not Found	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	7
A0A1P8AY74	A0A1P8AY74	Flocculation FLO11-like protein OS=Arabidopsis thaliana OX=3702 GN=Basic Proline-rich Protein 1 PE=1 SV=1	12.701	27	4	4	100	6.64	9.71282301316431E-17	1E-17	281672.807312017		64.67		675674.679742494	281672.807312017	208442.581879492				Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Not Found	Not Found	Not Found	High	High	High	7
O23402	ath:AT4G15500; O23402	UDP-glycosyltransferase 84A4 OS=Arabidopsis thaliana OX=3702 GN=UGT84A4 PE=1 SV=1	15.187	24	4	4	0.01	-6.64	9.71282301316431E-17	1E-17		430096.649656711		63.18					265957.333970451	695536.856548877	Not Found	Not Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	High	High	High	High	Peak Found	Not Found	High	High	Not Found	Not Found	High	7
Q941F1	ath:AT1G06800; Q941F1; Q9M9Y7	Phospholipase A1-Igamma1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DALL4 PE=1 SV=2	16.547	36	4	4	0.053	-4.25	9.71282301316431E-17	1E-17	6137428.06609198	116769196.559828	25.63	9.08	6137428.06609198	4316745.30583808	7335703.58966028	108944565.649622	130235232.136574	116769196.559828	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	High	7
Q9FI98	ath:AT5G05880; Q9FI98	UDP-glycosyltransferase 76C4 OS=Arabidopsis thaliana OX=3702 GN=UGT76C4 PE=2 SV=1	11.64	23	6	5	0.01	-6.64	9.71282301316431E-17	1E-17		484216.03475849		86.17				1334990.7531931	215478.037180766	484216.03475849	Not Found	High	Not Found	Peak Found	Not Found	Not Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Not Found	Not Found	High	High	High	7
Q9LQZ4	ath:AT1G75510; Q9LQZ4	Transcription initiation factor IIF subunit beta OS=Arabidopsis thaliana OX=3702 GN=At1g75510 PE=1 SV=1	24.383	25	6	6	0.022	-5.48	9.71282301316431E-17	1E-17	3694515.01826543	164375433.895194	49.8	15.3	3694515.01826543	6997347.40062544	2747435.51076105	191294347.758475	164375433.895194	140711935.071016	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	7
O82647	ath:AT4G33070; O82647; Q96535	Pyruvate decarboxylase 1 OS=Arabidopsis thaliana OX=3702 GN=PDC1 PE=2 SV=1	153.971	462	19	14	0.058	-4.1	9.71282301316431E-17	1E-17	2927691.69639647	50295745.1579944	21.19	87.59	2927691.69639647	4034052.12191307	2773102.20109314	104819663.983403	50295745.1579944	9189746.29867126	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	Peak Found	High	7
A8MRM0	A8MRM0	UBX domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=AtPUX7 PE=1 SV=1	15.223	33	4	4	0.01	-6.64	9.71282301316431E-17	1E-17		1021100.09207577		11.28				1106086.58218119	942643.564106036		High	Not Found	Not Found	Not Found	Peak Found	Not Found	High	High	High	Peak Found	Not Found	Not Found	Peak Found	Peak Found	High	High	High	High	8
Q9C8J4	ath:AT1G51420; Q9C8J4	Probable sucrose-phosphatase 1 OS=Arabidopsis thaliana OX=3702 GN=SPP1 PE=2 SV=1	37.464	217	10	6	38.615	5.27	9.71282301316431E-17	1E-17	30600387.7486278	792443.632087849	43.65	41.98	14824168.2682443	39028586.9531772	30600387.7486278	706631.504306468	792443.632087849	1463817.23379793	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	8
Q9XIP8	ath:AT1G64980; Q9XIP8	Protein CDI OS=Arabidopsis thaliana OX=3702 GN=CDI PE=2 SV=1	8.376	24	2	2	100	6.64	9.71282301316431E-17	1E-17	810429.55793268		3.4		830136.829678804	791190.13262559					High	Peak Found	Not Found	High	Peak Found	Not Found	High	Not Found	High	High	High	Peak Found	High	High	Not Found	Peak Found	High	Not Found	9
Q9FNA3	ath:AT5G13690; Q9FNA3	Alpha-N-acetylglucosaminidase OS=Arabidopsis thaliana OX=3702 GN=NAGLU PE=2 SV=1	6.792	25	4	3	100	6.64	9.71282301316431E-17	1E-17	1510546.90247619		24.79		1510546.90247619	1944535.89277097	1180733.79230222				High	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	9
F4I854	ath:AT1G57700; F4I854	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g57700 PE=1 SV=1	13.919	27	5	4	0.01	-6.64	9.71282301316431E-17	1E-17		1667180.8841106		70.43				1679396.73469323	222105.367148449	1667180.8841106	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	9
Q9XIQ1	ath:AT1G64950; Q9XIQ1	Cytochrome P450, family 89, subfamily A, polypeptide 5 OS=Arabidopsis thaliana OX=3702 GN=''cytochrome P450 PE=1 SV=1	58.107	192	13	6	9.358	3.23	9.71282301316431E-17	1E-17	154143421.931905	16471524.5931061	36.22	7.22	83742295.3296619	182172674.877411	154143421.931905	15099234.036291	17447869.2404551	16471524.5931061	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	9
Q8L607	ath:AT2G41670; O22228; Q8L607	Short integuments 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SIN2 PE=1 SV=1	21.974	47	9	9	60.258	5.91	9.71282301316431E-17	1E-17	166116900.791031	2756766.33934611	23.19	7.86	166116900.791031	178982984.328222	112338172.876129	2756766.33934611	2473658.56112725	2890417.2968462	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	9
F4HXP0	F4HXP0	ARF GAP-like zinc finger-containing protein ZIGA4 OS=Arabidopsis thaliana OX=3702 GN=ZIGA4 PE=1 SV=1	15.339	44	4	4	0.01	-6.64	9.71282301316431E-17	1E-17		943413.128717982		37.45				1013678.57506593	943413.128717982	459555.752390497	Not Found	Not Found	Not Found	High	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	10
A0A1P8BDF4	A0A1P8BDF4; ath:AT5G41120	Esterase/lipase/thioesterase family protein OS=Arabidopsis thaliana OX=3702 GN=MEE6.19 PE=1 SV=1	18.175	44	6	5	59.738	5.9	9.71282301316431E-17	1E-17	295676639.182992	4949537.83541387	19.82	69.36	295676639.182992	366071285.298652	246648081.896433	5781607.53502	4949537.83541387	803353.09487412	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	Peak Found	High	10
Q6NMN6	ath:AT5G65687; O49546; Q6NMN6	Probable sphingolipid transporter spinster homolog 1 OS=Arabidopsis thaliana OX=3702 GN=At5g65687 PE=1 SV=1	10.774	42	2	2	100	6.64	9.71282301316431E-17	1E-17	866924.381289698		41.4		1111901.85166147	449245.027319069	866924.381289698				High	High	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Not Found	Not Found	Not Found	11
A0A1P8B3K8	A0A1P8B3K8	Protein phosphatase 2C family protein OS=Arabidopsis thaliana OX=3702 GN=At4g28400 PE=1 SV=1	51.249	347	11	5	0.02	-5.63	9.71282301316431E-17	1E-17	1876333.71474459	92871780.930842	70.84	43.89	3100532.83980754	510296.365329265	1876333.71474459	135313155.794398	92871780.930842	53046394.6100461	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	11
F4IL57	ath:AT2G47500; F4IL57; O22260; Q84W97	Kinesin-like protein KIN-14I OS=Arabidopsis thaliana OX=3702 GN=KIN14I PE=2 SV=1	17.553	49	5	5	100	6.64	9.71282301316431E-17	1E-17	821491.897540752		16.21		896826.80226538	821491.897540752	647528.260457307				High	High	High	Peak Found	High	Not Found	High	High	High	Peak Found	High	High	High	High	Not Found	Peak Found	Not Found	High	12
O64862	ath:AT2G44270; O64862; Q8GZ19	Cytoplasmic tRNA 2-thiolation protein 1 OS=Arabidopsis thaliana OX=3702 GN=NCS6 PE=2 SV=2	11.905	46	5	5	0.071	-3.82	9.71282301316431E-17	1E-17	4039784.70445774	57057544.1255414	3.12	40.73	4039784.70445774	4214627.80706196	3967660.24039519	57057544.1255414	87397067.4530131	38234502.8745218	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	13
Q9SRE4	ath:AT1G76670; Q9SRE4	UDP-rhamnose/UDP-galactose transporter 1 OS=Arabidopsis thaliana OX=3702 GN=URGT1 PE=1 SV=1	18.452	71	5	5	0.022	-5.54	9.71282301316431E-17	1E-17	4009417.19123519	186120214.732625	13.47	35.45	3800377.71670477	4874619.1857435	4009417.19123519	186120214.732625	262284338.932449	126717449.88966	High	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	13
Q9M8K3	ath:AT3G06150; Q9M8K3	Cytochrome P450 family protein OS=Arabidopsis thaliana OX=3702 GN=At3g06150 PE=1 SV=1	22.13	69	6	6	0.01	-6.64	9.71282301316431E-17	1E-17	1126944.99018656	160460976.143377	50.85	15.84	1126944.99018656	2201753.54687202	860462.210778208	190489596.91947	160460976.143377	138983824.973524	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	13
F4IW47	ath:AT2G45290; F4IW47; O22143; Q93ZH6	Transketolase-2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TKL-2 PE=1 SV=1	78.394	419	17	9	14.326	3.84	9.71282301316431E-17	1E-17	136651334.223456	9538659.76395277	31.06	67.42	145005308.136129	76939961.4255389	136651334.223456	9538659.76395277	13727186.2023076	2346553.24180152	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	13
Q56YA5	ath:AT2G13360; O81248; Q56YA5	Serine--glyoxylate aminotransferase OS=Arabidopsis thaliana OX=3702 GN=AGT1 PE=1 SV=2	31.925	103	7	7	0.013	-6.29	9.71282301316431E-17	1E-17	904246.117341945	70725970.6767464	65.33	42	2009133.63522765	561134.298225399	904246.117341945	83571315.7632249	33094211.9357308	70725970.6767464	High	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	High	High	14
Q9SUT5	ath:AT4G11260; Q9SUT5	Protein SGT1 homolog B OS=Arabidopsis thaliana OX=3702 GN=SGT1B PE=1 SV=1	41.255	93	9	8	20.177	4.33	9.71282301316431E-17	1E-17	75376022.4299163	3735752.56394322	29.08	33.94	72225997.6366659	118376596.9011	75376022.4299163	5437332.47209896	2768714.00981285	3735752.56394322	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	14
Q6NQ63	ath:AT1G01440; Q6NQ63	At1g01440 OS=Arabidopsis thaliana OX=3702 GN=At1g01440 PE=1 SV=1	31.117	57	10	10	0.045	-4.47	9.71282301316431E-17	1E-17	4714517.70085323	104707684.788958	19.25	28.38	4291157.65898821	6146910.32226479	4714517.70085323	162697833.620827	104707684.788958	100400180.419157	High	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	14
Q9FJL8	ath:AT5G57980; Q9FJL8	DNA-directed RNA polymerase subunit 5-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=NRPB5L1 PE=3 SV=1	21.675	88	6	6	27.719	4.79	9.71282301316431E-17	1E-17	115218422.360894	4156605.4774622	15.11	19.78	126068889.953844	93027633.6674933	115218422.360894	4156605.4774622	5037876.55514532	3380806.25435904	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	16
Q8L466	ath:AT1G24050; Q8L466	At1g24050/T23E23_11 OS=Arabidopsis thaliana OX=3702 GN=At1g24050 PE=1 SV=1	41.254	117	9	9	0.02	-5.64	9.71282301316431E-17	1E-17	3633034.7579394	181364934.12047	21.53	25.43	4804733.69631426	3633034.7579394	3189305.85807896	233776617.645933	181364934.12047	139882322.946228	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	16
A0A1P8ATB0	A0A1P8ATB0	ZIP metal ion transporter family OS=Arabidopsis thaliana OX=3702 GN=IAR1 PE=1 SV=1	33.267	122	4	4	0.022	-5.5	9.71282301316431E-17	1E-17	4413506.31029733	199721121.891091	29.91	32.02	3559156.83996512	6345961.39182021	4413506.31029733	244809655.893864	124558720.948731	199721121.891091	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
Q93VI4	ath:AT5G51120; Q8LG48; Q93VI4; Q9LU62	Polyadenylate-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=PABN1 PE=1 SV=1	33.201	156	5	4	12.826	3.68	9.71282301316431E-17	1E-17	156445719.179567	12198003.8862893	37.09	166.61	125042345.371089	156445719.179567	251605597.522256	10992219.6282	12198003.8862893	890353011.197428	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	17
Q2V3E2	ath:AT4G27740; Q2V3E2	Protein yippee-like At4g27740 OS=Arabidopsis thaliana OX=3702 GN=At4g27740 PE=3 SV=1	25.591	128	6	6	0.011	-6.55	9.71282301316431E-17	1E-17	5979321.68097334	561603706.232717	33.04	20.69	5712783.27161411	9972635.27199018	5979321.68097334	587572714.24275	561603706.232717	391913179.053039	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9FJK7	ath:AT5G48630; Q9FJK7	Cyclin-C1-2 OS=Arabidopsis thaliana OX=3702 GN=CYCC1-2 PE=2 SV=1	28.788	94	7	7	0.048	-4.38	9.71282301316431E-17	1E-17	3298192.68600173	68520075.4460443	44.64	22.76	3298192.68600173	1414939.88213005	3839880.79497389	73871232.6783457	68520075.4460443	46775903.3493345	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
P59277	ath:AT1G51740; P59277; Q84JQ3; Q9C8I2	Syntaxin-81 OS=Arabidopsis thaliana OX=3702 GN=SYP81 PE=1 SV=2	30.31	115	7	7	14.618	3.87	9.71282301316431E-17	1E-17	235652196.777226	16120447.6754359	22.2	9	259366837.942305	165386558.978404	235652196.777226	15317291.3599062	18201737.7061255	16120447.6754359	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9ZTP3	ath:AT3G04580; Q9ZTP3	Protein EIN4 OS=Arabidopsis thaliana OX=3702 GN=EIN4 PE=1 SV=1	42.86	131	9	9	0.061	-4.04	9.71282301316431E-17	1E-17	7835972.17913318	128999182.060755	29.33	9.44	7835972.17913318	7968607.18592936	4470760.20601912	128999182.060755	147495687.06324	123447952.302635	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
A0A1P8AXX8	A0A1P8AXX8	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g34310 PE=1 SV=1	43.823	195	10	10	0.037	-4.76	9.71282301316431E-17	1E-17	7085258.0163194	192112817.884781	4.35	31.47	6951643.34035802	7085258.0163194	7547681.02528565	192112817.884781	260374808.821817	136953269.641171	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	17
O82491	ath:AT4G10710; C0SVH5; O82491	FACT complex subunit SPT16 OS=Arabidopsis thaliana OX=3702 GN=SPT16 PE=1 SV=1	35.801	104	12	12	100	6.64	9.71282301316431E-17	1E-17	598340718.478317	2312408.44180466	7.93	19.31	638091534.317187	598340718.478317	544262093.269075	2312408.44180466	1673405.0867823	2449310.4806902	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
F4IUD7	F4IUD7	Protein-serine/threonine phosphatase OS=Arabidopsis thaliana OX=3702 GN=At2g20050 PE=1 SV=1	43.09	164	13	13	0.055	-4.17	9.71282301316431E-17	1E-17	12165696.2722532	219388745.218901	19.49	21.85	16652462.6286936	12165696.2722532	11966914.4960213	270065748.010608	219388745.218901	173548856.933311	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	17
Q9LZQ3	ath:AT3G62370; Q9LZQ3	Heme binding protein OS=Arabidopsis thaliana OX=3702 GN=T12C14_70 PE=1 SV=1	46.825	138	5	5	0.079	-3.66	9.71282301316431E-17	1E-17	6292696.20530901	79369143.1527845	59.71	16.49	6204804.63596568	16110491.1953554	6292696.20530901	98064489.6113237	79369143.1527845	71418594.4697317	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FHN2	ath:AT5G51520; Q9FHN2	Invertase OS=Arabidopsis thaliana OX=3702 GN=At5g51520 PE=1 SV=1	50.597	157	6	6	0.018	-5.77	9.71282301316431E-17	1E-17	5520272.76109784	300523669.598443	72.33	24.85	13755517.3534011	3405225.95670375	5520272.76109784	373445100.141256	300523669.598443	224568547.829642	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SKI2	ath:AT2G06530; Q701A4; Q701B3; Q701B7; Q701C5; Q701E0; Q701E1; Q701E3; Q701F9; Q701G8; Q701J8; Q8L915; Q9SKI2	Vacuolar protein sorting-associated protein 2 homolog 1 OS=Arabidopsis thaliana OX=3702 GN=VPS2.1 PE=1 SV=2	29.547	242	7	7	0.1	-3.32	9.71282301316431E-17	1E-17	11948423.7111923	119372532.889761	26.93	9.75	11948423.7111923	9830786.00842529	16561453.6547042	112016655.967374	135339365.832417	119372532.889761	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
