Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (rbohC C)	Abundance Ratio (log2): (rbohF C) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohF C) / (rbohC C)	Abundance Ratio P-Value: (rbohF C) / (rbohC C)	Abundances (Grouped): rbohC C	Abundances (Grouped): rbohF C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q93VI4	ath:AT5G51120; Q8LG48; Q93VI4; Q9LU62	Polyadenylate-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=PABN1 PE=1 SV=1	33.201	156	5	4	0.083	-3.58	1.12273494653911E-16	1E-17	156445719.179567	13037656.1465149	37.09	158.3	125042345.371089	156445719.179567	251605597.522256	408563693.81213	13037656.1465149	11824170.6539142	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	17
P02666	A1YQZ8; A6N8V0; P02666; Q2TA13; Q5EEQ6; Q5EEQ7; Q6UN63; Q9BDG5; Q9TSD5	Beta-casein (Laboratory-Cont) OS=Bos taurus GN=CSN2 PE=1 SV=2	46.74	120	4	4	9.233	3.21	1.12273494653911E-16	1E-17	5783081.57433432	53394680.2492783	63.32	81.14	2047889.3923012	9261122.23135321	5783081.57433432	2619869.57208999	53394680.2492783	59759792.0640917	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9FJL8	ath:AT5G57980; Q9FJL8	DNA-directed RNA polymerase subunit 5-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=NRPB5L1 PE=3 SV=1	21.675	88	6	6	0.015	-6.02	1.12273494653911E-16	1E-17	115218422.360894	1776158.29259573	15.11	19.25	126068889.953844	93027633.6674933	115218422.360894	1674315.9089405	1776158.29259573	2365624.37171773	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	16
Q6NQ63	ath:AT1G01440; Q6NQ63	At1g01440 OS=Arabidopsis thaliana OX=3702 GN=At1g01440 PE=1 SV=1	31.117	57	10	10	28.322	4.82	1.12273494653911E-16	1E-17	4714517.70085323	133526254.493808	19.25	24.13	4291157.65898821	6146910.32226479	4714517.70085323	133526254.493808	144134788.812566	88629152.1927654	High	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	14
C0Z2A9	A0A178W6A8; C0Z2A9	AT1G29120 protein OS=Arabidopsis thaliana OX=3702 GN=UP9 PE=1 SV=1	15.693	53	6	6	31.05	4.96	1.12273494653911E-16	1E-17	1128065.95513791	35026633.0011839	40.35	7.99	2145769.04843719	1117562.47247102	1128065.95513791	35026633.0011839	30602395.7330305	35477297.8996517	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	12
F4IXJ7	ath:AT3G21350; F4IXJ7; Q9LIG1	Mediator of RNA polymerase II transcription subunit 6 OS=Arabidopsis thaliana OX=3702 GN=MED6 PE=1 SV=1	15.674	46	5	5	0.01	-6.64	1.12273494653911E-16	1E-17	1660321.51673835		60.47		480857.810657232	1660321.51673835	2181252.49952624				High	High	High	High	High	High	High	Not Found	Not Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	11
F4HXP0	F4HXP0	ARF GAP-like zinc finger-containing protein ZIGA4 OS=Arabidopsis thaliana OX=3702 GN=ZIGA4 PE=1 SV=1	15.339	44	4	4	100	6.64	1.12273494653911E-16	1E-17		367861.197957553		46.05				730328.631231375	333697.015900089	367861.197957553	Not Found	Not Found	Not Found	High	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	10
O80713	ath:AT2G47130; O80713	Short-chain dehydrogenase reductase 3a OS=Arabidopsis thaliana OX=3702 GN=SDR3a PE=2 SV=1	29.269	128	5	3	0.079	-3.65	1.12273494653911E-16	1E-17	26819205.3904534	2131653.26024219	33.63	44.55	30746843.7572851	15090461.1599143	26819205.3904534	2131653.26024219	2231359.84424624	844810.434586215	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	10
Q9LME7	ath:AT1G22330; Q9LME7	RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At1g22330 PE=1 SV=1	14.348	95	3	2	0.01	-6.64	1.12273494653911E-16	1E-17	1880589.81227453		85.44		4484357.14597091	594195.474321911	1880589.81227453				High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Not Found	Peak Found	Not Found	10
Q8L5Z0	ath:AT4G33945; Q8L5Z0	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g33940 PE=1 SV=1	23.203	49	7	6	45.311	5.5	1.12273494653911E-16	1E-17	2597969.46553652	117716766.91589	13.08	18.32	2597969.46553652	2582961.47116245	3225333.81907344	135440464.585693	93302772.5933793	117716766.91589	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	9
F4I854	ath:AT1G57700; F4I854	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g57700 PE=1 SV=1	13.919	27	5	4	100	6.64	1.12273494653911E-16	1E-17		2114670.1765026		26.91				2409725.52525907	2114670.1765026	1381017.90757159	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	9
A8MQQ5	A8MQQ5; ath:AT2G27160	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g27160 PE=4 SV=1	7.587	30	2	2	29.011	4.86	1.12273494653911E-16	1E-17	1894711.06111322	54967892.2302544	78.5	79.15	258159.861903375	1894711.06111322	2841552.03450707	4067356.92147875	54967892.2302544	65542608.4450252	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	9
A8MRM0	A8MRM0	UBX domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=AtPUX7 PE=1 SV=1	15.223	33	4	4	100	6.64	1.12273494653911E-16	1E-17		438108.911652618						438108.911652618			High	Not Found	Not Found	Not Found	Peak Found	Not Found	High	High	High	Peak Found	Not Found	Not Found	Peak Found	Peak Found	High	High	High	High	8
F4IB81	ath:AT1G51940; F4IB81; Q9FZA7	LysM domain receptor-like kinase 3 OS=Arabidopsis thaliana OX=3702 GN=LYK3 PE=2 SV=1	11.93	111	4	3	0.01	-6.64	1.12273494653911E-16	1E-17	830516.805167757		9.73		889788.357304587		775193.514281897				Peak Found	Not Found	High	High	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	8
Q9FI98	ath:AT5G05880; Q9FI98	UDP-glycosyltransferase 76C4 OS=Arabidopsis thaliana OX=3702 GN=UGT76C4 PE=2 SV=1	11.64	23	6	5	100	6.64	1.12273494653911E-16	1E-17		2443326.13742592		73.62				1495079.9979234	2443326.13742592	6199487.75143439	Not Found	High	Not Found	Peak Found	Not Found	Not Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Not Found	Not Found	High	High	High	7
O23402	ath:AT4G15500; O23402	UDP-glycosyltransferase 84A4 OS=Arabidopsis thaliana OX=3702 GN=UGT84A4 PE=1 SV=1	15.187	24	4	4	100	6.64	1.12273494653911E-16	1E-17		1017681.69172816		8.69				1017681.69172816	1013157.60512794	1176203.37482817	Not Found	Not Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	High	High	High	High	Peak Found	Not Found	High	High	Not Found	Not Found	High	7
F4JMW3	F4JMW3	Root hair specific 16 OS=Arabidopsis thaliana OX=3702 GN=RHS16 PE=4 SV=1	7.607	25	4	3	13.316	3.74	1.12273494653911E-16	1E-17	2480931.29500384	33035051.9066924	68.74	67.12	2151059.68513674	6872599.19965363	2480931.29500384	6571584.8113164	33035051.9066924	41066406.8265291	High	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	7
Q8VZP1	ath:AT5G57440; Q8VZP1; Q9FKM6	(DL)-glycerol-3-phosphatase 2 OS=Arabidopsis thaliana OX=3702 GN=GPP2 PE=1 SV=1	12.339	46	4	2	0.01	-6.64	1.12273494653911E-16	1E-17	492387.6523029		28.25		681063.659640609	390742.29917252	492387.6523029				High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	High	Peak Found	Not Found	High	High	High	Peak Found	High	Not Found	Peak Found	7
Q9C8E7	ath:AT1G42540; Q9C8E7	Glutamate receptor 3.3 OS=Arabidopsis thaliana OX=3702 GN=GLR3.3 PE=1 SV=1	6.815	7	5	5	0.01	-6.64	1.12273494653911E-16	1E-17	230383.559860344					230383.559860344					Not Found	Peak Found	Not Found	High	Peak Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Peak Found	High	Not Found	High	6
Q9FZ82	A0A178W5A3; ath:AT1G18610; Q9FZ82	F25I16.5 protein OS=Arabidopsis thaliana OX=3702 GN=At1g18610 PE=1 SV=1	9.649	25	4	4	98.327	6.62	1.12273494653911E-16	1E-17	1901040.96661439	186923358.836136	22.16	10.63	1901040.96661439	1880021.59001155	2722267.6974825	168779618.633632	208733887.588485	186923358.836136	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	6
Q84WU5	A0A178UBM1; ath:AT5G14720; Q84WU5	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g14720 PE=1 SV=1	12.624	14	4	4	44.091	5.46	1.12273494653911E-16	1E-17	264395.824653898	11657584.6912307	34.59	79.37	339361.923731978		205989.96883818	774483.732749339	11657584.6912307	13309686.5507424	High	High	Peak Found	Not Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Not Found	High	Not Found	High	6
Q9LKR7	ath:AT5G28510; Q9LKR7	Beta-glucosidase 24 OS=Arabidopsis thaliana OX=3702 GN=BGLU24 PE=2 SV=2	24.086	309	6	4	0.01	-6.64	1.12273494653911E-16	1E-17	709056.785603851		21.94		952425.225811674	631053.530019664	709056.785603851				Peak Found	Peak Found	High	High	Peak Found	Peak Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Peak Found	High	High	Not Found	High	Not Found	6
Q9LZP5	A0A178V6K8; ath:AT3G62450; Q9LZP5	DNA mismatch repair protein OS=Arabidopsis thaliana OX=3702 GN=T12C14_150 PE=1 SV=1	8.509	22	2	2	100	6.64	1.12273494653911E-16	1E-17		637619.967553252		7.09				637619.967553252	632524.786628383	716295.300880756	High	Not Found	Not Found	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Peak Found	Peak Found	High	High	High	High	High	6
Q9SRQ4	Q9SRQ4	T21P5.8 protein OS=Arabidopsis thaliana OX=3702 GN=At3g03500 PE=1 SV=1	7.322	15	2	2	0.01	-6.64	1.12273494653911E-16	1E-17	450883.916323477		65.72		272584.548266161		745810.088254492				Peak Found	Not Found	High	High	Not Found	High	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	Not Found	6
Q9C5U8	ath:AT5G63890; F4KC60; Q8LA77; Q9C5U8; Q9FN00	Histidinol dehydrogenase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HISN8 PE=2 SV=1	14.729	22	2	2	100	6.64	1.12273494653911E-16	1E-17		538645.864125076		27.47				538645.864125076	458811.842046913	770401.652348275	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	6
F4IZ80	A0A178VFW8; ath:AT3G49845; F4IZ80; Q0WPY7; Q9M2X4	Cysteine-rich TM module stress tolerance protein OS=Arabidopsis thaliana OX=3702 GN=WIH3 PE=1 SV=1	6.993	20	2	2	0.01	-6.64	1.12273494653911E-16	1E-17	85048555.4926989	527430.252825584	29.02	69.72	133057397.632624	85048555.4926989	81050915.1681767	525682.048134645	527430.252825584	1590825.89240797	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	6
Q3EDE7	Q3EDE7	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At1g10990 PE=1 SV=1	7.271	23	2	2	0.025	-5.34	1.12273494653911E-16	1E-17	9883617.91540163	243817.868168598	12.86	14.92	7881071.56617473	9996936.86866028	9883617.91540163	199753.316034573	269941.392664609	243817.868168598	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Not Found	Not Found	Peak Found	High	6
Q1H595	ath:AT1G03330; Q1H595; Q8L5U6; Q9ZVT4	Sm-like protein LSM2 OS=Arabidopsis thaliana OX=3702 GN=LSM2 PE=1 SV=1	36.123	172	6	6	6.977	2.8	2.49016970930821E-15	2.22044604925031E-16	10600743.3044907	73960760.7847562	37.96	14.4	10331670.1633919	10600743.3044907	19274410.0720669	73960760.7847562	60093654.3328845	80188005.4067609	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	17
Q9XI29	A8MRG0; ath:AT1G15400; Q3EDC0; Q9XI29	Uncharacterized protein At1g15400 OS=Arabidopsis thaliana OX=3702 GN=At1g15400 PE=1 SV=2	17.558	111	4	3	0.142	-2.82	9.94391001764153E-15	8.88178419700125E-16	67733385.3465937	9606688.68257955	25.22	5.59	67733385.3465937	45970737.3748834	77299849.4944455	9666600.37933541	8733796.39488368	9606688.68257955	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
F4J153	A0A178VMH0; ath:AT3G03570; F4J153	Signal transducer, putative (DUF3550/UPF0682) OS=Arabidopsis thaliana OX=3702 GN=At3g03570 PE=1 SV=1	27.956	131	10	9	0.122	-3.03	6.45629538869629E-14	5.77315972805081E-15	43172947.5309787	5279044.63952595	104.89	18.06	4271135.92720133	118231280.733437	43172947.5309787	5279044.63952595	5212612.74601292	7077075.03606842	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	15
P13114	ath:AT5G13930; P13114; Q43132; Q940L6; Q941R9	Chalcone synthase OS=Arabidopsis thaliana OX=3702 GN=CHS PE=1 SV=1	16.049	46	6	6	13.691	3.78	1.78589506005526E-13	1.59872115546023E-14	1099078.14756206	15047285.6432552	26.73	48.93	668617.106675542	1131105.23096677	1099078.14756206	23751379.1213157	15047285.6432552	8400766.59309515	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	9
P19172	ath:AT5G24090; O22065; O22066; O22067; O22068; O22069; O22070; O22071; O22072; O22073; O24614; P19172; Q5HYZ8	Acidic endochitinase OS=Arabidopsis thaliana OX=3702 GN=CHIB1 PE=2 SV=2	36.1	62	6	6	14.132	3.82	2.30549025123623E-13	2.06501482580279E-14	1142203.32163384	16141374.4457102	73.11	131.34	1979343.91363356	1142203.32163384	307846.897339386	83569251.2395871	16141374.4457102	834239.973242932	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	Not Found	High	Peak Found	Peak Found	High	Peak Found	7
A0A2H1ZEJ0	A0A2H1ZEJ0; ath:AT3G45850	P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g45850 PE=1 SV=1	177.221	642	41	37	0.218	-2.2	2.62893365462785E-12	2.36921593455008E-13	153579296.308802	33446229.0490226	10.66	38.45	134785468.550542	153579296.308802	166984635.80818	59510736.2880387	30813389.12657	33446229.0490226	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8BGB2	A0A1P8BGB2	Signal recognition particle, SRP54 subunit protein OS=Arabidopsis thaliana OX=3702 GN=At5g49500 PE=4 SV=1	46.843	268	10	3	6.574	2.72	4.66641054745324E-12	4.20774526332934E-13	8491854.48504433	55822298.9833266	17.77	31.98	11036632.1078752	7999014.91578853	8491854.48504433	33303800.9002688	65387122.5637793	55822298.9833266	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	6
F4K567	ath:AT5G67610; F4K567	Transmembrane protein (DUF2215) OS=Arabidopsis thaliana OX=3702 GN=At5g67610 PE=1 SV=1	10.03	29	3	3	24.942	4.64	5.70536203482871E-10	5.18747267364006E-11	265515.606043305	6622461.16336684	88.6	42.34	265515.606043305	238535.017340031	1043060.80304118	4220046.12717672	10097885.0902747	6622461.16336684	Peak Found	Peak Found	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	9
Q9SS48	ath:AT3G10370; Q9SS48	Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDP6 PE=1 SV=1	132.764	630	25	25	3.785	1.92	9.39459972666166E-10	8.55595594373426E-11	69357221.0407946	262549400.680019	14.09	4.9	69357221.0407946	60666100.5646661	80390074.6317551	263271330.541576	241221728.801121	262549400.680019	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FFK6	ath:AT5G05680; Q0WPM6; Q9FFK6	Nuclear pore complex protein NUP88 OS=Arabidopsis thaliana OX=3702 GN=NUP88 PE=1 SV=1	33.802	53	9	9	0.102	-3.29	1.13461913474194E-09	1.03390185302032E-10	18092340.9726609	1843453.5729204	72.96	22.87	46660128.388374	18092340.9726609	11737850.7265488	1843453.5729204	2410757.41014775	1540535.91384208	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	9
Q9FGV4	ath:AT5G47950; Q9FGV4	Acetyl-CoA:benzylalcohol acetyltranferase-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g47950 PE=1 SV=1	19.687	41	7	7	8.854	3.15	6.82666277989278E-09	6.30621999064829E-10	1877973.52771754	16628407.5367421	16.68	35.54	1877973.52771754	2196641.43569503	1568945.30343479	17753778.6491509	16628407.5367421	8455215.29051936	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	Peak Found	13
Q1ECK0	ath:AT1G03730; Q1ECK0	At1g03730 OS=Arabidopsis thaliana OX=3702 GN=At1g03730 PE=2 SV=1	7.488	66	3	3	0.064	-3.96	9.46755153627686E-09	8.76950290162881E-10	5868145.58760735	377611.023603176	68.78	42.53	1589722.10310379	9217763.18481785	5868145.58760735		276857.159588337	515031.23617485	Peak Found	High	High	High	High	High	Not Found	Peak Found	Peak Found	High	High	High	Peak Found	High	High	Peak Found	High	High	12
Q93ZE8	ath:AT2G25110; O81720; Q93ZE8; Q9SEZ5	Stromal cell-derived factor 2-like protein OS=Arabidopsis thaliana OX=3702 GN=SDF2 PE=1 SV=1	102.883	352	8	8	3.632	1.86	9.49876493764097E-09	8.80317596596569E-10	46099099.8423306	167410912.516219	19.28	23.15	37290693.2172625	55089494.6073357	46099099.8423306	176086819.923436	167410912.516219	111424219.870118	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SE96	ath:AT1G28200; Q9SE96	GEM-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=FIP1 PE=1 SV=1	51.384	310	10	10	4.463	2.16	1.09379676081654E-08	1.01424690868157E-09	20334238.8468496	90759143.8124334	6.95	30.4	20334238.8468496	22710756.3295303	20049173.7854239	145991076.35924	90759143.8124334	87534262.6149765	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZVL3	ath:AT1G54830; Q9ZVL3	Nuclear transcription factor Y subunit C-3 OS=Arabidopsis thaliana OX=3702 GN=NFYC3 PE=1 SV=1	15.238	24	4	4	0.02	-5.67	2.65138385027108E-08	2.46652720470308E-09	1652993.26579437	32547.5814119142	44.07	60.07	1652993.26579437	1054250.92754479	2600816.65631907	51223.7707323839	20680.7316333598		Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Not Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Not Found	6
