Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q8VZP1	ath:AT5G57440; Q8VZP1; Q9FKM6	(DL)-glycerol-3-phosphatase 2 OS=Arabidopsis thaliana OX=3702 GN=GPP2 PE=1 SV=1	12.339	46	4	2	0.01	-6.64	1.01626016260163E-16	1E-17		413799.300895172								413799.300895172	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	High	Peak Found	Not Found	High	High	High	Peak Found	High	Not Found	Peak Found	7
Q9SGA5	A0A178VFU2; ath:AT3G02070; Q0WTB0; Q9SGA5	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12 OS=Arabidopsis thaliana OX=3702 GN=OTU12 PE=2 SV=1	9.899	24	3	3	31.701	4.99	1.01626016260163E-16	1E-17	21684481.5606344	684033.13543249	62.87	75.51	10191910.5278161	21684481.5606344	40086861.7766823	1240938.09285274		377054.530813834	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Not Found	High	Peak Found	Peak Found	High	7
Q9FIC6	ath:AT5G39150; Q9FIC6	Germin-like protein subfamily 1 member 17 OS=Arabidopsis thaliana OX=3702 GN=At5g39150 PE=2 SV=1	37.352	53	3	3	13.523	3.76	1.01626016260163E-16	1E-17	44359930.9589039	3280313.35650183	14.46	143.49	34833862.0441967	46019284.2959578	44359930.9589039	3280313.35650183	2157395.7070983	42035109.5113563	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	7
A0A1P8AY74	A0A1P8AY74	Flocculation FLO11-like protein OS=Arabidopsis thaliana OX=3702 GN=Basic Proline-rich Protein 1 PE=1 SV=1	12.701	27	4	4	100	6.64	1.01626016260163E-16	1E-17	1323817.34174055		54.89		2208150.72721247	674845.767862196	1323817.34174055				Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Not Found	Not Found	Not Found	High	High	High	7
Q941F1	ath:AT1G06800; Q941F1; Q9M9Y7	Phospholipase A1-Igamma1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DALL4 PE=1 SV=2	16.547	36	4	4	0.083	-3.59	1.01626016260163E-16	1E-17	9669718.09798797	116769196.559828	59.92	9.08	2444690.28142784	9669718.09798797	11081090.6389413	108944565.649622	130235232.136574	116769196.559828	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	High	7
F4IDB2	ath:AT1G72390; F4IDB2; Q9C9D6; Q9C9D7	Protein PHYTOCHROME-DEPENDENT LATE-FLOWERING OS=Arabidopsis thaliana OX=3702 GN=PHL PE=1 SV=1	12.97	30	5	5	47.446	5.57	1.01626016260163E-16	1E-17	12104069.9633948	255113.720385753	46.66	65.83	7674885.55966315	19852193.904915	12104069.9633948	707289.871941751	243257.308375625	255113.720385753	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	High	7
Q9FEA2	ath:AT5G64050; Q940P6; Q9FEA2	Glutamate--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=OVA3 PE=1 SV=1	12.539	21	5	5	18.237	4.19	1.01626016260163E-16	1E-17	48908763.2918648	2681773.08067546	16.99	24.83	48908763.2918648	51490748.7895019	36918322.5456679	2681773.08067546	3607090.70469118	2223749.52109509	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	7
Q9LQZ4	ath:AT1G75510; Q9LQZ4	Transcription initiation factor IIF subunit beta OS=Arabidopsis thaliana OX=3702 GN=At1g75510 PE=1 SV=1	24.383	25	6	6	0.02	-5.67	1.01626016260163E-16	1E-17	3234647.31123782	164375433.895194	59.52	15.3	3234647.31123782	1639552.13353117	5856123.08278793	191294347.758475	164375433.895194	140711935.071016	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	7
P19172	ath:AT5G24090; O22065; O22066; O22067; O22068; O22069; O22070; O22071; O22072; O22073; O24614; P19172; Q5HYZ8	Acidic endochitinase OS=Arabidopsis thaliana OX=3702 GN=CHIB1 PE=2 SV=2	36.1	62	6	6	33.844	5.08	1.01626016260163E-16	1E-17	16141374.4457102	476938.729546223	131.34	71.2	83569251.2395871	16141374.4457102	834239.973242932		274095.808337783	829894.310024768	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	Not Found	High	Peak Found	Peak Found	High	Peak Found	7
Q8RWN2	ath:AT5G13740; Q8RWN2; Q9FKI8	Protein ZINC INDUCED FACILITATOR 1 OS=Arabidopsis thaliana OX=3702 GN=ZIF1 PE=1 SV=2	12.993	30	4	3	30.68	4.94	1.01626016260163E-16	1E-17	14713656.5410217	479586.19614952	17.11	35.49	11971603.8993822	16940280.8891154	14713656.5410217	479586.19614952	276071.609148212	589780.879813252	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	8
F4IB81	ath:AT1G51940; F4IB81; Q9FZA7	LysM domain receptor-like kinase 3 OS=Arabidopsis thaliana OX=3702 GN=LYK3 PE=2 SV=1	11.93	111	4	3	0.01	-6.64	1.01626016260163E-16	1E-17		638380.927191143		39.91				638380.927191143	596351.6576151	1170346.57223314	Peak Found	Not Found	High	High	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	8
Q9C8J4	ath:AT1G51420; Q9C8J4	Probable sucrose-phosphatase 1 OS=Arabidopsis thaliana OX=3702 GN=SPP1 PE=2 SV=1	37.464	217	10	6	34.137	5.09	1.01626016260163E-16	1E-17	27051643.5902819	792443.632087849	39.89	41.98	50742595.7081837	26434362.355077	27051643.5902819	706631.504306468	792443.632087849	1463817.23379793	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	8
Q9XIP8	ath:AT1G64980; Q9XIP8	Protein CDI OS=Arabidopsis thaliana OX=3702 GN=CDI PE=2 SV=1	8.376	24	2	2	100	6.64	1.01626016260163E-16	1E-17	434640.150853034		50.93		298105.20077219		633709.375898857				High	Peak Found	Not Found	High	Peak Found	Not Found	High	Not Found	High	High	High	Peak Found	High	High	Not Found	Peak Found	High	Not Found	9
A8MQQ5	A8MQQ5; ath:AT2G27160	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g27160 PE=4 SV=1	7.587	30	2	2	54.132	5.76	1.01626016260163E-16	1E-17	54967892.2302544	1015444.16620212	79.15	31.65	4067356.92147875	54967892.2302544	65542608.4450252	1015444.16620212	550706.170489478	1036373.1949143	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	9
Q9FNA3	ath:AT5G13690; Q9FNA3	Alpha-N-acetylglucosaminidase OS=Arabidopsis thaliana OX=3702 GN=NAGLU PE=2 SV=1	6.792	25	4	3	100	6.64	1.01626016260163E-16	1E-17	590048.662583977		15.38		517117.678896857	701166.0484156	590048.662583977				High	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	9
Q9LDH3	ath:AT1G12500; Q9LDH3	Probable sugar phosphate/phosphate translocator At1g12500 OS=Arabidopsis thaliana OX=3702 GN=At1g12500 PE=1 SV=1	9.882	29	3	3	100	6.64	1.01626016260163E-16	1E-17	1595803.3578123	6478.83662246527	47.4	170.23	1041765.44062549	2697604.55232177	1595803.3578123	870233.469330227	6478.83662246527	3617.70615757116	High	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	Peak Found	High	Not Found	High	High	High	Peak Found	Peak Found	High	High	High	9
Q9XIQ1	ath:AT1G64950; Q9XIQ1	Cytochrome P450, family 89, subfamily A, polypeptide 5 OS=Arabidopsis thaliana OX=3702 GN=''cytochrome P450 PE=1 SV=1	58.107	192	13	6	10.593	3.41	1.01626016260163E-16	1E-17	174485572.59692	16471524.5931061	9.56	7.22	174485572.59692	148113858.309657	176725242.885265	15099234.036291	17447869.2404551	16471524.5931061	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	9
Q8L5Z0	ath:AT4G33945; Q8L5Z0	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g33940 PE=1 SV=1	23.203	49	7	6	27.18	4.76	1.01626016260163E-16	1E-17	117716766.91589	4330948.0101323	18.32	89.9	135440464.585693	93302772.5933793	117716766.91589	162255.463690468	4330948.0101323	6988033.24560831	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	9
Q8L607	ath:AT2G41670; O22228; Q8L607	Short integuments 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SIN2 PE=1 SV=1	21.974	47	9	9	52.586	5.72	1.01626016260163E-16	1E-17	144967937.972608	2756766.33934611	21.45	7.86	176755593.109253	114384041.804826	144967937.972608	2756766.33934611	2473658.56112725	2890417.2968462	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	9
Q9LME7	ath:AT1G22330; Q9LME7	RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At1g22330 PE=1 SV=1	14.348	95	3	2	0.01	-6.64	1.01626016260163E-16	1E-17		530801.207945816		32.59				530801.207945816	280662.600811474	538367.777849171	High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Not Found	Peak Found	Not Found	10
O80713	ath:AT2G47130; O80713	Short-chain dehydrogenase reductase 3a OS=Arabidopsis thaliana OX=3702 GN=SDR3a PE=2 SV=1	29.269	128	5	3	0.064	-3.96	1.01626016260163E-16	1E-17	2131653.26024219	33117195.8297845	44.55	31.66	2131653.26024219	2231359.84424624	844810.434586215	33117195.8297845	40809392.0944298	20950488.7966319	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	10
A0A1P8BDF4	A0A1P8BDF4; ath:AT5G41120	Esterase/lipase/thioesterase family protein OS=Arabidopsis thaliana OX=3702 GN=MEE6.19 PE=1 SV=1	18.175	44	6	5	42.466	5.41	1.01626016260163E-16	1E-17	210185095.344489	4949537.83541387	11.41	69.36	210185095.344489	227551665.16419	180986963.187572	5781607.53502	4949537.83541387	803353.09487412	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	Peak Found	High	10
Q6NMN6	ath:AT5G65687; O49546; Q6NMN6	Probable sphingolipid transporter spinster homolog 1 OS=Arabidopsis thaliana OX=3702 GN=At5g65687 PE=1 SV=1	10.774	42	2	2	100	6.64	1.01626016260163E-16	1E-17	329486.897088971		57.51		298275.933894866	329486.897088971	780841.171717058				High	High	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Not Found	Not Found	Not Found	11
A0A1P8B3K8	A0A1P8B3K8	Protein phosphatase 2C family protein OS=Arabidopsis thaliana OX=3702 GN=At4g28400 PE=1 SV=1	51.249	347	11	5	0.016	-5.92	1.01626016260163E-16	1E-17	1532183.66165693	92871780.930842	44.74	43.89	1532183.66165693	1031540.98807236	2521867.51745777	135313155.794398	92871780.930842	53046394.6100461	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	11
F4IXJ7	ath:AT3G21350; F4IXJ7; Q9LIG1	Mediator of RNA polymerase II transcription subunit 6 OS=Arabidopsis thaliana OX=3702 GN=MED6 PE=1 SV=1	15.674	46	5	5	0.01	-6.64	1.01626016260163E-16	1E-17		1334710.12326066		50.04				1719387.40683134	542808.853088216	1334710.12326066	High	High	High	High	High	High	High	Not Found	Not Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	11
F4IL57	ath:AT2G47500; F4IL57; O22260; Q84W97	Kinesin-like protein KIN-14I OS=Arabidopsis thaliana OX=3702 GN=KIN14I PE=2 SV=1	17.553	49	5	5	100	6.64	1.01626016260163E-16	1E-17	449751.459396918		15.41		574307.936395567	449751.459396918	439213.735071069				High	High	High	Peak Found	High	Not Found	High	High	High	Peak Found	High	High	High	High	Not Found	Peak Found	Not Found	High	12
C0Z2A9	A0A178W6A8; C0Z2A9	AT1G29120 protein OS=Arabidopsis thaliana OX=3702 GN=UP9 PE=1 SV=1	15.693	53	6	6	21.208	4.41	1.01626016260163E-16	1E-17	35026633.0011839	1651542.99354849	7.99	15.36	35026633.0011839	30602395.7330305	35477297.8996517	1651542.99354849	2065487.44178844	1557994.17252068	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	12
F4IN63	ath:AT2G48080; F4IN63	Oxidoreductase, 2OG-Fe(II) oxygenase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g48080 PE=1 SV=1	12.399	31	5	4	39.878	5.32	1.01626016260163E-16	1E-17	265694369.390213	6662687.42095365	16.36	22.29	330959944.520567	265694369.390213	242741571.029094	8111746.71120726	6662687.42095365	5151511.57401401	High	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	13
O64862	ath:AT2G44270; O64862; Q8GZ19	Cytoplasmic tRNA 2-thiolation protein 1 OS=Arabidopsis thaliana OX=3702 GN=NCS6 PE=2 SV=2	11.905	46	5	5	0.064	-3.96	1.01626016260163E-16	1E-17	3668516.87125299	57057544.1255414	36.64	40.73	2376404.47919129	5096855.32338872	3668516.87125299	57057544.1255414	87397067.4530131	38234502.8745218	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	13
Q9SRE4	ath:AT1G76670; Q9SRE4	UDP-rhamnose/UDP-galactose transporter 1 OS=Arabidopsis thaliana OX=3702 GN=URGT1 PE=1 SV=1	18.452	71	5	5	0.031	-5.01	1.01626016260163E-16	1E-17	5780917.64596888	186120214.732625	80.54	35.45	5780917.64596888	3026053.38110177	15406744.6933192	186120214.732625	262284338.932449	126717449.88966	High	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	13
Q9M8K3	ath:AT3G06150; Q9M8K3	Cytochrome P450 family protein OS=Arabidopsis thaliana OX=3702 GN=At3g06150 PE=1 SV=1	22.13	69	6	6	0.022	-5.53	1.01626016260163E-16	1E-17	3462779.42771981	160460976.143377	17.45	15.84	2792984.8655776	3462779.42771981	3980635.56586658	190489596.91947	160460976.143377	138983824.973524	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	13
Q56YA5	ath:AT2G13360; O81248; Q56YA5	Serine--glyoxylate aminotransferase OS=Arabidopsis thaliana OX=3702 GN=AGT1 PE=1 SV=2	31.925	103	7	7	0.033	-4.93	1.01626016260163E-16	1E-17	2327395.63062302	70725970.6767464	26.59	42	2422033.32277325	1429741.41695894	2327395.63062302	83571315.7632249	33094211.9357308	70725970.6767464	High	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	High	High	14
Q9SUT5	ath:AT4G11260; Q9SUT5	Protein SGT1 homolog B OS=Arabidopsis thaliana OX=3702 GN=SGT1B PE=1 SV=1	41.255	93	9	8	18.797	4.23	1.01626016260163E-16	1E-17	70220466.4346244	3735752.56394322	12.02	33.94	57658030.3468224	70220466.4346244	72613629.1739234	5437332.47209896	2768714.00981285	3735752.56394322	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	14
Q8W496	ath:AT4G25650; Q8W496; Q93WJ7; Q9SZZ3	Protochlorophyllide-dependent translocon component 52, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PTC52 PE=2 SV=1	16.286	62	7	7	15.536	3.96	1.01626016260163E-16	1E-17	34816489.0884911	2240992.01921261	25.42	62.91	26117940.1015024	34816489.0884911	43882100.1584913	814408.542820438	2240992.01921261	3609101.8846649	High	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	15
Q8L466	ath:AT1G24050; Q8L466	At1g24050/T23E23_11 OS=Arabidopsis thaliana OX=3702 GN=At1g24050 PE=1 SV=1	41.254	117	9	9	0.045	-4.49	1.01626016260163E-16	1E-17	8076247.36742435	181364934.12047	7.77	25.43	8511998.44208518	8076247.36742435	7290883.01195408	233776617.645933	181364934.12047	139882322.946228	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	16
A0A1P8ATB0	A0A1P8ATB0	ZIP metal ion transporter family OS=Arabidopsis thaliana OX=3702 GN=IAR1 PE=1 SV=1	33.267	122	4	4	0.02	-5.64	1.01626016260163E-16	1E-17	4011594.31762945	199721121.891091	16.32	32.02	3866728.65344665	5161743.95115883	4011594.31762945	244809655.893864	124558720.948731	199721121.891091	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
Q2V3E2	ath:AT4G27740; Q2V3E2	Protein yippee-like At4g27740 OS=Arabidopsis thaliana OX=3702 GN=At4g27740 PE=3 SV=1	25.591	128	6	6	0.01	-6.64	1.01626016260163E-16	1E-17	3314919.3581387	561603706.232717	27.27	20.69	2019187.63571886	3314919.3581387	3485044.03379138	587572714.24275	561603706.232717	391913179.053039	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9FJK7	ath:AT5G48630; Q9FJK7	Cyclin-C1-2 OS=Arabidopsis thaliana OX=3702 GN=CYCC1-2 PE=2 SV=1	28.788	94	7	7	0.083	-3.6	1.01626016260163E-16	1E-17	5662351.92782139	68520075.4460443	11.78	22.76	5721000.45304435	4605575.42944048	5662351.92782139	73871232.6783457	68520075.4460443	46775903.3493345	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
A0A1P8AXX8	A0A1P8AXX8	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g34310 PE=1 SV=1	43.823	195	10	10	0.052	-4.27	1.01626016260163E-16	1E-17	9943771.83798119	192112817.884781	63.81	31.47	9455575.83788617	9943771.83798119	26666404.7839423	192112817.884781	260374808.821817	136953269.641171	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	17
O82491	ath:AT4G10710; C0SVH5; O82491	FACT complex subunit SPT16 OS=Arabidopsis thaliana OX=3702 GN=SPT16 PE=1 SV=1	35.801	104	12	12	100	6.64	1.01626016260163E-16	1E-17	580205568.216661	2312408.44180466	6.1	19.31	580205568.216661	589636098.058622	525804773.726236	2312408.44180466	1673405.0867823	2449310.4806902	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
F4IUD7	F4IUD7	Protein-serine/threonine phosphatase OS=Arabidopsis thaliana OX=3702 GN=At2g20050 PE=1 SV=1	43.09	164	13	13	0.033	-4.94	1.01626016260163E-16	1E-17	7166537.24196386	219388745.218901	14.73	21.85	7166537.24196386	6304137.80047217	8442116.63509835	270065748.010608	219388745.218901	173548856.933311	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	17
