Accession	Description	MW [kDa]	calc. pI
P51818	Heat shock protein 90-3 OS=Arabidopsis thaliana OX=3702 GN=HSP90-3 PE=1 SV=2	80	5.05
Q9SGH6	Alpha-dioxygenase 1 OS=Arabidopsis thaliana OX=3702 GN=DOX1 PE=1 SV=1	73.1	6.29
P55737	Heat shock protein 90-2 OS=Arabidopsis thaliana OX=3702 GN=HSP90-2 PE=1 SV=1	80	5.05
O48844	26S proteasome non-ATPase regulatory subunit 1 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN2A PE=1 SV=1	108.9	5.39
F4IPJ1	Non-specific serine/threonine protein kinase OS=Arabidopsis thaliana OX=3702 GN=At2g17930 PE=1 SV=1	436.1	7.28
Q8VZM1	N-terminal acetyltransferase A complex auxiliary subunit NAA15 OS=Arabidopsis thaliana OX=3702 GN=NAA15 PE=1 SV=1	102.1	7.71
P35908	Keratin, type II cytoskeletal 2 epidermal (Contact-Cont) OS=Homo sapiens GN=KRT2 PE=1 SV=2	65.4	8
O49160	Eukaryotic translation initiation factor 3 subunit C OS=Arabidopsis thaliana OX=3702 GN=TIF3C1 PE=1 SV=2	102.9	5.36
P11574	V-type proton ATPase subunit B1 OS=Arabidopsis thaliana OX=3702 GN=VHA-B1 PE=2 SV=2	54.1	5.1
F4J8D3	Protein TPLATE OS=Arabidopsis thaliana OX=3702 GN=TPLATE PE=1 SV=1	130.8	5.96
Q9SRT9	UDP-arabinopyranose mutase 1 OS=Arabidopsis thaliana OX=3702 GN=RGP1 PE=1 SV=1	40.6	5.92
Q56YN8	Structural maintenance of chromosomes protein 3 OS=Arabidopsis thaliana OX=3702 GN=SMC3 PE=2 SV=1	139.3	6.42
Q9STX5	Endoplasmin homolog OS=Arabidopsis thaliana OX=3702 GN=HSP90-7 PE=1 SV=1	94.1	5.03
P22953	Heat shock 70 kDa protein 1 OS=Arabidopsis thaliana OX=3702 GN=HSP70-1 PE=1 SV=3	71.3	5.12
O80725	ABC transporter B family member 4 OS=Arabidopsis thaliana OX=3702 GN=ABCB4 PE=1 SV=1	138.9	6.55
Q6XJG8	26S proteasome non-ATPase regulatory subunit 2 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPN1B PE=1 SV=1	97.9	5.21
P54609	Cell division control protein 48 homolog A OS=Arabidopsis thaliana OX=3702 GN=CDC48A PE=1 SV=1	89.3	5.25
Q9FNQ1	DExH-box ATP-dependent RNA helicase DExH14 OS=Arabidopsis thaliana OX=3702 GN=BRR2C PE=2 SV=1	244.4	6.89
A0A1P8BF32	Heat shock protein 70 (Hsp 70) family protein OS=Arabidopsis thaliana OX=3702 GN=BIP2 PE=1 SV=1	74.3	5.19
Q8W4E2	V-type proton ATPase subunit B3 OS=Arabidopsis thaliana OX=3702 GN=VHA-B3 PE=2 SV=1	54.3	5.1
F4K0C4	Trafficking protein particle complex II-specific subunit 130 homolog OS=Arabidopsis thaliana OX=3702 GN=TRS130 PE=1 SV=1	140.6	6.19
Q0WW26	Coatomer subunit gamma OS=Arabidopsis thaliana OX=3702 GN=At4g34450 PE=1 SV=2	98.4	5.16
Q8H0T4	E3 ubiquitin-protein ligase UPL2 OS=Arabidopsis thaliana OX=3702 GN=UPL2 PE=1 SV=3	403.4	4.94
Q8VZC7	Probable disease resistance protein At5g45510 OS=Arabidopsis thaliana OX=3702 GN=At5g45510 PE=1 SV=2	137.8	5.33
O04310	Jacalin-related lectin 34 OS=Arabidopsis thaliana OX=3702 GN=JAL34 PE=1 SV=1	72.4	5.5
P92994	Trans-cinnamate 4-monooxygenase OS=Arabidopsis thaliana OX=3702 GN=CYP73A5 PE=1 SV=1	57.8	8.78
Q9LKR3	Heat shock 70 kDa protein BIP1 OS=Arabidopsis thaliana OX=3702 GN=BIP1 PE=1 SV=1	73.6	5.17
Q0WL80	UDP-glucose:glycoprotein glucosyltransferase OS=Arabidopsis thaliana OX=3702 GN=UGGT PE=1 SV=1	181.7	5.83
F4HVV7	Transcription regulator OS=Arabidopsis thaliana OX=3702 GN=At1g02080 PE=1 SV=1	263.6	5.55
Q9LFW1	UDP-arabinopyranose mutase 2 OS=Arabidopsis thaliana OX=3702 GN=RGP2 PE=1 SV=1	40.9	6.13
F4KB73	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g15680 PE=1 SV=1	242.3	6.67
Q9FNX5	Phragmoplastin DRP1E OS=Arabidopsis thaliana OX=3702 GN=DRP1E PE=1 SV=1	69.8	7.52
F4JPL2	Non-specific serine/threonine protein kinase OS=Arabidopsis thaliana OX=3702 GN=At4g36080 PE=1 SV=1	433.3	7.17
Q9FY61	Trafficking protein particle complex II-specific subunit 120 homolog OS=Arabidopsis thaliana OX=3702 GN=TRS120 PE=1 SV=1	129.5	6.27
A0A1P8B9J5	RNI-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MFC19.17 PE=1 SV=1	85.7	8.27
Q9SZN1	V-type proton ATPase subunit B2 OS=Arabidopsis thaliana OX=3702 GN=VHA-B2 PE=1 SV=1	54.3	5.15
Q9SV20	Coatomer subunit beta-2 OS=Arabidopsis thaliana OX=3702 GN=At4g31490 PE=2 SV=2	106	6.01
Q9SFU6	Callose synthase 9 OS=Arabidopsis thaliana OX=3702 GN=CALS9 PE=2 SV=2	216.9	8.56
Q9C5Y0	Phospholipase D delta OS=Arabidopsis thaliana OX=3702 GN=PLDDELTA PE=1 SV=2	98.9	7.17
Q8L866	Amine oxidase OS=Arabidopsis thaliana OX=3702 GN=MHK10.21 PE=1 SV=1	86.6	7.12
Q84VW9	Phosphoenolpyruvate carboxylase 3 OS=Arabidopsis thaliana OX=3702 GN=PPC3 PE=1 SV=2	110.1	6.04
Q9SV21	Coatomer subunit beta-1 OS=Arabidopsis thaliana OX=3702 GN=At4g31480 PE=3 SV=2	106.1	5.83
Q9T0A0	Long chain acyl-CoA synthetase 4 OS=Arabidopsis thaliana OX=3702 GN=LACS4 PE=2 SV=1	74.5	5.87
Q9SEI2	26S proteasome regulatory subunit 6A homolog A OS=Arabidopsis thaliana OX=3702 GN=RPT5A PE=1 SV=1	47.5	5.03
P0DH99	Elongation factor 1-alpha 1 OS=Arabidopsis thaliana OX=3702 GN=A1 PE=1 SV=1	49.5	9.11
Q9SJM0	Callose synthase 10 OS=Arabidopsis thaliana OX=3702 GN=CALS10 PE=2 SV=5	218.2	8.16
P29197	Chaperonin CPN60, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CPN60 PE=1 SV=2	61.2	5.78
P93042	Protein ROOT HAIR DEFECTIVE 3 OS=Arabidopsis thaliana OX=3702 GN=RHD3 PE=1 SV=1	89	5.57
A0A1P8B4E4	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g30990 PE=1 SV=1	297.3	8.09
Q9MAT0	26S proteasome non-ATPase regulatory subunit 1 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPN2B PE=1 SV=1	108.8	5.35
Q9LV11	ATPase 11, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA11 PE=1 SV=1	105.1	6.6
F4JR52	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g30990 PE=1 SV=2	296.7	8.16
Q940P8	T-complex protein 1 subunit beta OS=Arabidopsis thaliana OX=3702 GN=CCT2 PE=1 SV=1	57.3	5.87
Q93YU5	Exocyst complex component SEC8 OS=Arabidopsis thaliana OX=3702 GN=SEC8 PE=1 SV=1	116.5	5.92
Q8VYC5	Ketose-bisphosphate aldolase class-II family protein OS=Arabidopsis thaliana OX=3702 GN=At1g18270 PE=1 SV=1	147	5.85
A0A1P8AX98	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g26780 PE=1 SV=1	199.6	6.64
F4JXW9	ER membrane protein complex subunit 1 OS=Arabidopsis thaliana OX=3702 GN=At5g11560 PE=1 SV=1	108.8	6.81
A0A1P8AWA3	Phosphatidylinositol 3-and 4-kinase family protein OS=Arabidopsis thaliana OX=3702 GN=ATPI4K ALPHA PE=1 SV=1	223.2	6.48
Q9T053	Phospholipase D gamma 1 OS=Arabidopsis thaliana OX=3702 GN=PLDGAMMA1 PE=1 SV=1	95.5	8.15
Q9SF40	60S ribosomal protein L4-1 OS=Arabidopsis thaliana OX=3702 GN=RPL4A PE=1 SV=1	44.7	10.35
P54888	Delta-1-pyrroline-5-carboxylate synthase B OS=Arabidopsis thaliana OX=3702 GN=P5CSB PE=2 SV=1	78.8	6.81
F4IL68	SH3 domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At2g07360 PE=1 SV=1	130.3	5.69
Q9LTT8	Enhancer of mRNA-decapping protein 4 OS=Arabidopsis thaliana OX=3702 GN=VCS PE=1 SV=1	145.6	6.1
F4I9A2	TGN-related, localized SYP41 interacting protein OS=Arabidopsis thaliana OX=3702 GN=TNO1 PE=1 SV=1	193.5	4.61
Q9FN44	Zinc finger, C3HC4 type (RING finger) family protein OS=Arabidopsis thaliana OX=3702 GN=MYJ24.15 PE=1 SV=1	526.9	5.64
Q9M888	T-complex protein 1 subunit zeta 1 OS=Arabidopsis thaliana OX=3702 GN=CCT6A PE=1 SV=1	58.9	6.21
Q9LF79	Calcium-transporting ATPase 8, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=ACA8 PE=1 SV=1	116.1	7.83
A0A2P2CLF9	ATP synthase subunit alpha OS=Arabidopsis thaliana OX=3702 GN=atp1 PE=3 SV=1	55.1	6.33
P29511	Tubulin alpha-6 chain OS=Arabidopsis thaliana OX=3702 GN=TUBA6 PE=1 SV=1	49.5	5.06
Q8L7N0	T-complex protein 1 subunit zeta 2 OS=Arabidopsis thaliana OX=3702 GN=CCT6B PE=1 SV=1	58.9	6.25
Q9ZU25	Probable mitochondrial-processing peptidase subunit alpha-1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MPPalpha1 PE=1 SV=1	54.4	6.33
Q8RX56	Protein unc-13 homolog OS=Arabidopsis thaliana OX=3702 GN=PATROL1 PE=2 SV=1	124.4	6.24
Q9SGT7	At1g56110/T6H22_9 OS=Arabidopsis thaliana OX=3702 GN=NOP56 PE=1 SV=1	58.6	8.7
Q9SUS3	Beta-adaptin-like protein B OS=Arabidopsis thaliana OX=3702 GN=BETAB-AD PE=1 SV=1	99.3	5.05
B9DGT7	Tubulin alpha-2 chain OS=Arabidopsis thaliana OX=3702 GN=TUBA2 PE=2 SV=2	49.5	5.06
Q9C8G9	ABC transporter C family member 1 OS=Arabidopsis thaliana OX=3702 GN=ABCC1 PE=1 SV=1	181.8	6.2
Q9MAH0	Phosphoenolpyruvate carboxylase 1 OS=Arabidopsis thaliana OX=3702 GN=PPC1 PE=1 SV=1	110.2	6.06
O24457	Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PDH-E1 ALPHA PE=2 SV=1	47.1	7.49
Q39085	Delta(24)-sterol reductase OS=Arabidopsis thaliana OX=3702 GN=DIM PE=1 SV=2	65.4	7.97
Q56YW9	Tubulin beta-2 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB2 PE=2 SV=2	50.7	4.81
Q9LZF6	Cell division control protein 48 homolog E OS=Arabidopsis thaliana OX=3702 GN=CDC48E PE=2 SV=2	89.9	5.2
O23144	Proton pump-interactor 1 OS=Arabidopsis thaliana OX=3702 GN=PPI1 PE=1 SV=2	68.8	9.03
Q9MAB3	Probable nucleolar protein 5-2 OS=Arabidopsis thaliana OX=3702 GN=NOP5-2 PE=1 SV=1	59	9.22
Q38882	Phospholipase D alpha 1 OS=Arabidopsis thaliana OX=3702 GN=PLDALPHA1 PE=1 SV=2	91.8	5.87
Q9SSB5	26S proteasome regulatory subunit 7 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPT1A PE=1 SV=1	47.8	6.65
Q9SQI8	Dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LTA2 PE=2 SV=1	50	8.37
P49691	60S ribosomal protein L4-2 OS=Arabidopsis thaliana OX=3702 GN=RPL4D PE=1 SV=2	44.7	10.3
Q9C5U3	26S proteasome regulatory subunit 8 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPT6A PE=1 SV=1	47.2	8.88
Q8LPR9	Protein TIC110, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC110 PE=1 SV=1	112.1	5.97
O04314	PYK10-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=PBP1 PE=1 SV=1	32.1	5.77
O23254	Serine hydroxymethyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=SHM4 PE=1 SV=1	51.7	7.23
O03986	Heat shock protein 90-4 OS=Arabidopsis thaliana OX=3702 GN=HSP90-4 PE=1 SV=1	80.1	5.05
Q8W4S4	V-type proton ATPase subunit a3 OS=Arabidopsis thaliana OX=3702 GN=VHA-a3 PE=1 SV=1	92.8	5.94
A8MS68	Dihydrolipoyl dehydrogenase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LPD1 PE=2 SV=1	66.6	8.41
Q8LF20	Putative clathrin assembly protein At2g25430 OS=Arabidopsis thaliana OX=3702 GN=At2g25430 PE=1 SV=2	72	5.43
Q6Q1P4	Structural maintenance of chromosomes protein 1 OS=Arabidopsis thaliana OX=3702 GN=SMC1 PE=2 SV=2	140.8	7.8
Q93Z16	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Arabidopsis thaliana OX=3702 GN=RPN2 PE=1 SV=1	74.6	7.53
A0A1P8AUY4	Midasin OS=Arabidopsis thaliana OX=3702 GN=MDN1 PE=1 SV=1	611.5	5.27
P29516	Tubulin beta-8 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB8 PE=2 SV=2	50.6	4.83
F4JZY1	COP1-interactive protein 1 OS=Arabidopsis thaliana OX=3702 GN=CIP1 PE=1 SV=1	181.9	4.91
P92948	Cell division cycle 5-like protein OS=Arabidopsis thaliana OX=3702 GN=CDC5 PE=1 SV=2	95.7	6.77
Q8S9J8	Probable clathrin assembly protein At4g32285 OS=Arabidopsis thaliana OX=3702 GN=At4g32285 PE=1 SV=2	70.5	6.11
O04450	T-complex protein 1 subunit epsilon OS=Arabidopsis thaliana OX=3702 GN=CCT5 PE=1 SV=1	59.3	5.66
Q6NPR7	Probable methyltransferase PMT24 OS=Arabidopsis thaliana OX=3702 GN=At1g29470 PE=2 SV=1	87.1	5.24
Q9LVF2	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At3g21540 PE=1 SV=1	106	7.28
F4IFG1	Dynamin related protein OS=Arabidopsis thaliana OX=3702 GN=DRP3B PE=1 SV=1	86.6	6.32
F4JLP5	Dihydrolipoyl dehydrogenase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LPD2 PE=2 SV=2	60.1	7.61
Q9ZUF6	Subtilisin-like protease SBT1.8 OS=Arabidopsis thaliana OX=3702 GN=SBT1.8 PE=1 SV=1	80	8.35
P20431	ATPase 3, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA3 PE=1 SV=2	104.4	7.18
P24636	Tubulin beta-4 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB4 PE=2 SV=2	49.8	4.86
P29515	Tubulin beta-7 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB7 PE=2 SV=1	50.7	4.83
Q9SRV5	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=MS2 PE=1 SV=1	84.5	6.51
Q8RWN9	Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g13930 PE=1 SV=2	58.4	7.65
Q94C74	Serine hydroxymethyltransferase 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SHM2 PE=1 SV=2	57.3	8.75
Q9LUT2	S-adenosylmethionine synthase 4 OS=Arabidopsis thaliana OX=3702 GN=METK4 PE=1 SV=1	42.8	5.81
F4IVR2	Heat shock protein 60-2 OS=Arabidopsis thaliana OX=3702 GN=HSP60-2 PE=1 SV=1	61.4	6.33
P28769	T-complex protein 1 subunit alpha OS=Arabidopsis thaliana OX=3702 GN=CCT1 PE=1 SV=1	59.2	6.3
F4KCQ9	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g16280 PE=1 SV=2	143.4	6.65
Q9LV21	T-complex protein 1 subunit delta OS=Arabidopsis thaliana OX=3702 GN=CCT4 PE=1 SV=1	57.7	7.68
O48946	Cellulose synthase A catalytic subunit 1 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA1 PE=1 SV=1	122.2	6.95
B9DFQ9	AT5G37510 protein OS=Arabidopsis thaliana OX=3702 GN=EMB1467 PE=1 SV=1	81.1	6.64
Q56WD9	3-ketoacyl-CoA thiolase 2, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=PED1 PE=1 SV=2	48.5	8.34
P92939	Calcium-transporting ATPase 1, endoplasmic reticulum-type OS=Arabidopsis thaliana OX=3702 GN=ECA1 PE=1 SV=2	116.3	5.11
Q42290	Probable mitochondrial-processing peptidase subunit beta, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MPPbeta PE=1 SV=2	59.1	6.79
P29517	Tubulin beta-9 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB9 PE=1 SV=1	49.6	4.78
Q9C5Z3	Eukaryotic translation initiation factor 3 subunit E OS=Arabidopsis thaliana OX=3702 GN=TIF3E1 PE=1 SV=1	51.7	5.86
Q9SPK5	Formate--tetrahydrofolate ligase OS=Arabidopsis thaliana OX=3702 GN=THFS PE=2 SV=1	67.8	6.71
B9DFI7	Probable methyltransferase PMT2 OS=Arabidopsis thaliana OX=3702 GN=At1g26850 PE=2 SV=2	69.6	6.96
F4JNU6	Phospholipase D OS=Arabidopsis thaliana OX=3702 GN=PLDDELTA PE=1 SV=1	79.2	7.59
Q94BQ2	26S proteasome regulatory subunit 8 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPT6B PE=1 SV=1	47.1	8.59
Q9LSB4	TSA1-like protein OS=Arabidopsis thaliana OX=3702 GN=NAI2 PE=1 SV=1	85	4.69
Q9LD90	H/ACA ribonucleoprotein complex subunit 4 OS=Arabidopsis thaliana OX=3702 GN=CBF5 PE=1 SV=1	63	9.14
O82462	Glutamate--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At5g26710 PE=1 SV=1	81	7.03
O04630	Threonine--tRNA ligase, mitochondrial 1 OS=Arabidopsis thaliana OX=3702 GN=THRRS PE=1 SV=3	80.9	6.98
O04311	Jacalin-related lectin 33 OS=Arabidopsis thaliana OX=3702 GN=JAL33 PE=1 SV=1	32	5.22
Q9SF16	T-complex protein 1 subunit eta OS=Arabidopsis thaliana OX=3702 GN=CCT7 PE=1 SV=1	59.7	6.39
Q8GRX1	Myrosinase 4 OS=Arabidopsis thaliana OX=3702 GN=TGG4 PE=1 SV=1	57.5	8.12
Q9LKU3	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=T32B20.g PE=1 SV=1	107	6.28
Q42093	ABC transporter C family member 2 OS=Arabidopsis thaliana OX=3702 GN=ABCC2 PE=1 SV=2	182	6.42
Q9C5Z1	Eukaryotic translation initiation factor 3 subunit B OS=Arabidopsis thaliana OX=3702 GN=TIF3B1 PE=1 SV=1	81.8	5.25
