Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
F4IUJ7	Nucleus. Nucleus, nucleolus.		-3.78	-1.77	0	Protein IQ-DOMAIN 4 (AtIQD4)
Q9FMU5	Nucleus, nucleolus.		-1.26	0	0	U3 small nucleolar RNA-associated protein 18 homolog
Q9SH31	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	-3.64	-1.86	0	Xyloglucan-specific galacturonosyltransferase 1 (EC 2.4.1.-) (Glycosyltransferase 16) (Protein ROOT HAIR SPECIFIC 8) (Protein exostosin)
O23177	Unknown		-0.92	0	0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2, 6-diaminopimelate ligase (Uncharacterized protein At4g37090) (Uncharacterized protein At4g37090/C7A10_270)
Q9XID0	Nucleus		2.06	0	0	Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Protein FORMS APLOID AND BINUCLEATE CELLS 1D)
Q9C950	Nucleus.		-2.11	0	0	Protein RTF1 homolog (Protein VERNALIZATION INDEPENDENCE 5)
F4JN13	Nucleus, Cytoplasm		2.23	1.86	0	Ankyrin repeat-containing protein 2
Q3MK94	Nucleus. Cytoplasm. Localizes predominantly in the nucleus.		-1.2	-0.95	0	YTH domain-containing protein ECT1 (Protein EVOLUTIONARILY CONSERVED C-TERMINAL REGION 1)
Q9LUD4	Cytoplasm		-1.2	0	0	60S ribosomal protein L18a-3
Q1H595	Cytoplasm. Nucleus.		1.35	-2.83	0	Sm-like protein LSM2 (AtLSM2) (U6 snRNA-associated Sm-like protein LSM2)
Q94K76	Extracellular		2.04	4.02	0	Curculin-like (Mannose-binding) lectin family protein (Uncharacterized protein At5g18470)
Q9STX2	Unknown		-0.98	0	0	3-oxo-Delta(4,5)-steroid 5-beta-reductase (EC 1.3.1.3) (Delta(4)-3-oxosteroid 5-beta-reductase) (Delta-4,5-steroid 5-beta-reductase) (At5beta-StR) (Progesterone 5-beta-reductase) (5beta-POR) (Protein VEIN PATTERNING 1)
Q9FJB5	Unknown		-1.47	0	0	Disease resistance RPP8-like protein 3
Q9FLD5	Mitochondrion membrane; Single-pass membrane protein.	TRUE	1.21	1.93	0	AAA-ATPase ASD, mitochondrial (EC 3.6.1.-) (AAA-ATPase 1) (Protein ATPASE-IN-SEED-DEVELOPMENT)
Q9LLC1	Plastid, chloroplast.		0.98	0	0	Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2, chloroplastic (AtBCCP2) (BCCP-2)
Q9LM78	Cell_membrane		-1.02	-0.98	0	Calcium-binding EF hand family protein (F2D10.25) (Uncharacterized protein At1g20760)
Q8LCE1	Cytoplasm.		1.08	0	0	Glutamine synthetase cytosolic isozyme 1-2 (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;2) (GLN1;2)
Q67XP8	Cell_membrane		1.6	0	0	Calcium-dependent lipid-binding (CaLB domain) family protein (NTMC2T6.2 protein) (Uncharacterized protein At3g14590)
Q949Z2	Membrane; Multi-pass membrane protein.	TRUE	1.05	-1.62	0	AT5G26740 protein (Organic solute transporter ostalpha protein (DUF300)) (Uncharacterized protein At5g26734)
Q9FXB0	Cytoplasm		-1.37	-1.06	0	At1g56580/F25P12_18 (F25P12.97 protein)
Q8W4I9	Nucleus		2.1	0	0	Protein MEI2-like 1 (AML1) (MEI2-like protein 1)
Q9LK88	Cell membrane.		-1.07	1.33	0	NADPH:quinone oxidoreductase (EC 1.6.5.2)
Q9FN75	Membrane; Single-pass membrane protein.	TRUE	2.62	2.37	0	AAA-ATPase At5g17760 (EC 3.6.1.-)
O82628	Cell membrane. Vacuole membrane; Peripheral membrane protein.		1.32	0	0	V-type proton ATPase subunit G1 (V-ATPase subunit G1) (Vacuolar H(+)-ATPase subunit G isoform 1) (Vacuolar proton pump subunit G1)
Q8RXW8	Unknown		2.57	0	0	Uncharacterized protein At5g65207
Q9FN19	Nucleus.		0.83	1.48	0	WD40 repeat-containing protein HOS15 (HIGH OSMOTIC STRESS GENE EXPRESSION 15)
Q39219	Mitochondrion inner membrane; Multi-pass membrane protein. Mitochondrial, possibly in the inner surface of the inner mitochondrial membrane.	TRUE	1.39	2.41	0	Ubiquinol oxidase 1a, mitochondrial (EC 1.10.3.11) (Alternative oxidase 1a)
Q39079	Membrane; Single-pass membrane protein.	TRUE	1.19	0	0	Chaperone protein dnaJ 13 (AtDjB13) (AtJ13)
Q8H1U4	Nucleus.		2.82	0	0	Anaphase-promoting complex subunit 5 (Cyclosome subunit 5)
A0A1P8B9Z4	Membrane; Multi-pass membrane protein.	TRUE	1.07	1.97	0	Ferric reduction oxidase 5
O82504	Nucleus, nucleoplasm. Nucleus, nucleolus. Nucleus. In the nucleolus, localized in a ring or crescent around the inner periphery and to a distinctive nucleolar dot.		1.59	-2.14	0	RNA-dependent RNA polymerase 2 (AtRDRP2) (EC 2.7.7.48) (Protein SILENCING MOVEMENT DEFICIENT 1) (RNA-directed RNA polymerase 2)
O49596	Nucleus. Cytoplasm, cytosol.		2.44	2.15	0	High mobility group B protein 2 (High mobility group protein B 1) (AtHMGbeta1) (HMG beta 1) (Nucleosome/chromatin assembly factor group D 02) (Nucleosome/chromatin assembly factor group D 2)
Q0WUR5	Endosome membrane; Peripheral membrane protein.		-1.18	0	0	1-phosphatidylinositol-3-phosphate 5-kinase FAB1A (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Protein FORMS APLOID AND BINUCLEATE CELLS 1A)
Q9SDM9	Cytoplasm		0.99	1.23	0	Nitrile-specifier protein 1 (AtNSP1) (Jacalin-related lectin 28)
Q5XEZ1	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	-1.87	2.17	0	Hydroxyproline O-galactosyltransferase HPGT3 (EC 2.4.1.-) (Beta-1,3-galactosyltransferase 9)
Q7FB56	Membrane; Multi-pass membrane protein.	TRUE	-2.18	-4.58	0	Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15)
F4I1Z0	Endoplasmic reticulum membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	TRUE	-1.29	-1.36	0	GPI transamidase subunit PIG-U
Q9T019	Secreted, extracellular space, apoplast.		-1.34	1.98	0	Dirigent protein 14 (AtDIR14)
Q9ZW09	Cell membrane; Single-pass type I membrane protein.	TRUE	1.32	0	0	Probable inactive L-type lectin-domain containing receptor kinase III.1 (LecRK-III.1)
F4J865	Chloroplast	TRUE	1.91	-1.58	0	Cytochrome P450, family 76, subfamily G, polypeptide 1
Q56YT0	Secreted, extracellular space, apoplast.		-0.73	-1.24	0	Laccase-3 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 3) (Diphenol oxidase 3) (Urishiol oxidase 3)
Q8GY58	Secreted.		-1.35	2.26	0	Endoglucanase 23 (EC 3.2.1.4) (Endo-1,4-beta glucanase 23)
F4IBS8	Membrane; Multi-pass membrane protein.	TRUE	1.5	0	0	Protein VTE6, chloroplastic
Q9SHH6	Cytoplasm, cytosol.		1.7	1.86	0	Glutathione S-transferase U24 (AtGSTU24) (EC 2.5.1.18) (GST class-tau member 24)
A0A1P8ATG5	Nucleus.	TRUE	6.64	0	0	High mobility group B3
Q9LTI5	Nucleus.		2.61	0	0	Scarecrow-like protein 11 (AtSCL11) (GRAS family protein 31) (AtGRAS-31)
F4K265	Cytoplasmic vesicle, autophagosome.		-6.64	0	0	Autophagy-related protein 101
O22822	Unknown		1.57	0	0	UDP-glycosyltransferase 74F2 (EC 2.4.1.-) (AtSGT1) (Salicylic acid glucosyltransferase 1)
A0A1P8AQC9	Golgi apparatus membrane; Single-pass type II membrane protein. Membrane; Single-pass type II membrane protein.		-6.64	0	0	Exostosin family protein
Q9ZVX3	Nucleus		6.64	0	0	Expressed protein (Phospholipase-like protein (PEARLI 4) family protein)
Q9SA25	Membrane; Single-pass type I membrane protein.	TRUE	6.64	0	0	Wall-associated receptor kinase-like 8 (EC 2.7.11.-)
O22254	Cytoplasm		2.54	0	0	Putative 60S ribosomal protein L18-1
Q9M047	Cytoplasm, cytoskeleton.		-1.36	0	0	LIM domain-containing protein WLIM2b (Widely-expressed LIM protein 2B)
Q9FG54	Extracellular		1.89	0	0	At5g54370 (Late embryogenesis abundant (LEA) protein-like protein) (Root cap protein 2-like protein)
O22241	Plastid, chloroplast stroma.		6.64	0	0	Arogenate dehydratase 4, chloroplastic (AtADT4) (EC 4.2.1.91)
O64783	Cell membrane; Single-pass type I membrane protein.	TRUE	-6.64	0	0	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61370 (EC 2.7.11.1)
Q6ICW8	Nucleus.		-6.64	0	0	At4g25180 (RNA polymerase III RPC4) (Uncharacterized protein At4g25180)
Q9SEZ9	Membrane; Single-pass type II membrane protein.	TRUE	6.64	0	0	Protein trichome birefringence-like 30
Q9SJD4	Mitochondrion		2.03	0	0	Long chain acyl-CoA synthetase 8 (EC 6.2.1.3)
F4KHL6	Chloroplast		6.64	0	0	Heavy metal-associated isoprenylated plant protein 10 (AtHIP10)
P55852	Nucleus. Cytoplasm.		-2.78	0	0	Small ubiquitin-related modifier 1 (AtSUMO1) (Ubiquitin-like protein SMT3)
Q3E7C8	Unknown		6.64	0	0	Uncharacterized protein
Q9CAL3	Membrane; Single-pass membrane protein.	TRUE	1.82	0	0	Cysteine-rich receptor-like protein kinase 2 (Cysteine-rich RLK2) (EC 2.7.11.-)
Q84W43	Extracellular		6.64	0	0	Proline-tRNA ligase (DUF1680) (Uncharacterized protein At5g12960)
